iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts
0,2.8283390939977835,226.656768,1.391273021697998,0.13486045598983765,0.6154507398605347,nan,0.1343877911567688,0.0,0.0,0.0
1,1.323284378999233,228.201984,1.1279656887054443,0.17619922757148743,0.5118337273597717,nan,0.10780145227909088,0.0,0.0,0.0
2,1.3204696740031068,228.201984,0.8753887414932251,0.22660312056541443,0.455193430185318,nan,0.0812363550066948,0.0,0.0,0.0
3,1.3214885420020437,228.5952,0.6766020059585571,0.27200302481651306,0.38986751437187195,nan,0.0597335509955883,0.0,0.0,0.0
4,1.3240510309988167,229.25056,0.45334357023239136,0.3337676525115967,0.2663559317588806,nan,0.03510167822241783,0.0,0.0,0.0
5,1.3259433200000785,229.25056,0.28440532088279724,0.4138948321342468,0.09693843871355057,nan,0.01463661901652813,0.0,0.0,0.0
6,1.32705025299947,229.25056,0.27449560165405273,0.4872961938381195,0.12363528460264206,nan,0.008979176171123981,0.0,0.0,0.0
7,1.3307525999989593,229.25056,0.3685495853424072,0.5432484745979309,0.26530951261520386,nan,0.013393042609095573,0.0,0.0,0.0
8,1.3273794410015398,229.25056,0.4634494185447693,0.5692574977874756,0.32772988080978394,nan,0.01814490556716919,0.0,0.0,0.0
9,1.3280411460000323,229.25056,0.5347582697868347,0.5876536965370178,0.34791651368141174,nan,0.02141531929373741,0.0,0.0,0.0
10,1.3362091219969443,229.25056,0.617958664894104,0.615250825881958,0.4194733500480652,nan,0.02664421871304512,0.0,0.0,0.0
11,1.352400984000269,229.25056,0.7205734252929688,0.6468808054924011,0.4960106313228607,nan,0.03412570804357529,0.0,0.0,0.0
12,1.4012394800010952,229.25056,0.8365614414215088,0.6742942333221436,0.5430697202682495,nan,0.04207770153880119,0.0,0.0,0.0
13,1.435904603000381,229.25056,1.102805256843567,0.665138840675354,0.4561934769153595,nan,0.06389105319976807,0.0,0.0,0.0
14,1.4063976939978602,229.25056,2.342012405395508,0.37390661239624023,0.7557216882705688,nan,0.18652236461639404,0.0,0.0,0.0
15,1.3711095680009748,229.25056,4.814192771911621,-0.13072648644447327,2.8020553588867188,nan,0.4380246102809906,0.0,0.0,0.0
16,1.3840514440016705,229.25056,4.607347011566162,-0.13337203860282898,2.634976387023926,nan,0.41718679666519165,0.0,0.0,0.0
17,1.3988716660023783,229.25056,3.0827620029449463,0.0014009466394782066,2.0870604515075684,nan,0.2663521468639374,0.0,0.0,0.0
18,1.3785836269998981,229.25056,2.4969868659973145,0.06636713445186615,1.767835259437561,nan,0.20760105550289154,0.0,0.0,0.0
19,1.3694926770003804,229.25056,2.6477551460266113,0.05821697413921356,1.8104890584945679,nan,0.22195765376091003,0.0,0.0,0.0
20,1.3685967519995756,229.25056,3.0407400131225586,0.019080519676208496,1.8201650381088257,nan,0.2605050504207611,0.0,0.0,0.0
21,1.360876653001469,229.25056,3.393716335296631,-0.016779355704784393,1.6891111135482788,nan,0.2951774597167969,0.0,0.0,0.0
22,1.3623417529997823,229.25056,3.596911668777466,-0.03600379079580307,1.6245803833007812,nan,0.31488335132598877,0.0,0.0,0.0
23,1.3642172050022054,229.25056,3.659024715423584,-0.04079052433371544,1.5438507795333862,nan,0.32039690017700195,0.0,0.0,0.0
24,1.374769781003124,229.25056,3.6243209838867188,-0.03596152365207672,1.441278100013733,nan,0.31608515977859497,0.0,0.0,0.0
25,1.3849276559994905,229.25056,3.5367047786712646,-0.02579585276544094,1.3177170753479004,nan,0.3061659038066864,0.0,0.0,0.0
26,1.3996126870006265,229.25056,3.4377057552337646,-0.01414400152862072,1.151120901107788,nan,0.29475530982017517,0.0,0.0,0.0
27,1.390121361000638,229.25056,3.350477457046509,-0.002849987708032131,0.5725571513175964,nan,0.2841039299964905,0.0,4.0,0.0
