iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,1.9596152260000963,63.989248,2.8091650009155273,0.09248565137386322,0.8490981459617615,2.4853515625,0.27616626024246216,0.0,0.0003522977349348366,0.325390100479126,0.018301906064152718,2.7194470021640882e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33798809846242267,0.296132355928421,2.9059651692708335,0.25705669323603314,0.020040657371282578,-0.10675746202468872
1,0.8918788620001123,64.61696,2.626718759536743,0.11202262341976166,0.7881187200546265,2.4853515625,0.25756072998046875,0.0,0.0007667667232453823,0.04395301267504692,0.06409122049808502,8.076407539192587e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337169090906779,0.29278990626335144,3.8634033203125,0.2561701734860738,0.02130682518084844,-0.07068496942520142
2,0.897438473999955,64.61696,2.2899608612060547,0.1485028862953186,0.7777153253555298,2.4853515625,0.2228485643863678,0.0,0.0008737934986129403,0.04709189385175705,0.2330264449119568,0.00018386804731562734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33589692910512287,0.2923917770385742,3.893310546875,0.25478116671244305,0.02126963436603546,-0.0504799485206604
3,0.9004916829999274,64.61696,1.7547687292099,0.2129702866077423,0.711953341960907,2.4853515625,0.16784457862377167,0.0,0.0009721292881295085,0.049852024763822556,0.6076540946960449,0.00035394178121350706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33640122413635254,0.29627525806427,3.8812255859375,0.2552179495493571,0.021222067375977833,-0.029302865266799927
4,0.9493009730001631,64.61696,1.1576780080795288,0.30219754576683044,0.5403408408164978,2.4853515625,0.10589548945426941,0.0,0.001136794569902122,0.03996698558330536,1.2935709953308105,0.000599476567003876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33720560868581134,0.30286705493927,3.8653157552083335,0.2560184796651204,0.02114178240299225,-0.03388106822967529
5,0.9535919590000503,64.61696,0.6661664843559265,0.4087415337562561,0.335936963558197,2.4853515625,0.05331648513674736,0.0,0.001262452220544219,0.025878626853227615,2.4169015884399414,0.0008913049823604524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33714882532755536,0.29941415786743164,3.8599039713541665,0.25594749053319293,0.021009482443332672,-0.04358363151550293
6,0.9567013789999237,64.61696,0.4145297706127167,0.5174363851547241,0.09987296164035797,2.4853515625,0.02349112182855606,0.0,0.0012650354765355587,0.024101821705698967,4.074033737182617,0.0011494909413158894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3354421854019165,0.2936703562736511,3.8491617838541665,0.25427013635635376,0.020874030888080597,-0.05413109064102173
7,0.9446326620000036,64.61696,0.40522903203964233,0.6103842258453369,0.20542730391025543,2.4853515625,0.016524581238627434,0.0,0.0012022384908050299,0.049472250044345856,6.068489074707031,0.0012694596080109477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33132869005203247,0.2849588990211487,3.7899576822916665,0.25011104345321655,0.020709313452243805,-0.06421887874603271
8,0.9450111480000487,64.61696,0.49354100227355957,0.6603219509124756,0.31053924560546875,2.4853515625,0.0195554681122303,0.0,0.0013493325095623732,0.11428599059581757,7.628761291503906,0.0011923209531232715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3235466480255127,0.26299142837524414,3.39306640625,0.24229441086451212,0.020539849996566772,-0.07119917869567871
9,0.9131297629999153,64.61696,0.5734050273895264,0.6819161772727966,0.34306350350379944,2.4853515625,0.02231745421886444,0.0,0.0024408623576164246,0.34818705916404724,8.304180145263672,0.0009943394688889384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3118048310279846,0.2527156174182892,3.1815999348958335,0.23058881362279257,0.020458196600278217,-0.07583105564117432
