iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,0.6917920490000142,2.134528,7.396077632904053,0.09656184911727905,0.7484058141708374,nan,0.7112619280815125,0.0,9.44626226555556e-05,0.7120761275291443,0.018700547516345978,2.1597776412963867,0.5072133541107178,0.0,0.0,nan,nan,0.0,0.0,0.3380955457687378,0.3353584408760071,2.4322916666666665,0.3380955457687378,0.021420766909917194,0.011664196848869324
1,0.36857968100002836,3.181056,7.301034927368164,0.08655041456222534,0.3742113709449768,nan,0.7019572257995605,0.0,0.0003195484750904143,0.3670666217803955,0.10339497029781342,2.158581495285034,0.5071570873260498,0.0,0.0,nan,nan,0.0,0.0,0.3373507261276245,0.33553546667099,3.2890625,0.3373507261276245,0.023021812240282696,0.023011013865470886
2,0.3650893480000832,3.181056,7.058382511138916,0.02153031900525093,0.3912616968154907,nan,0.6770105361938477,0.0,0.0003607654361985624,0.3633701503276825,0.2645606994628906,2.1573848724365234,0.5070781707763672,0.0,0.0,nan,nan,0.0,0.0,0.3350229263305664,0.3340285122394562,3.2395833333333335,0.3350229263305664,0.023013333479563396,0.023009195923805237
3,0.3739520619999439,3.181056,6.905540466308594,-0.07222617417573929,0.3854248821735382,nan,0.6614657044410706,0.0,0.0003693946055136621,0.37607693672180176,0.4636530578136444,2.1565604209899902,0.5069915652275085,0.0,0.0,nan,nan,0.0,0.0,0.33436401685078937,0.3338368833065033,3.0416666666666665,0.33436401685078937,0.023021943867206573,0.023009851574897766
4,0.4041686520000667,3.181056,6.9546284675598145,-0.17100496590137482,0.7301934957504272,nan,0.6672319769859314,0.0,0.00041534588672220707,0.3908904194831848,0.6239140033721924,2.1553523540496826,0.50691819190979,0.0,0.0,nan,nan,0.0,0.0,0.33416954676310223,0.3336552381515503,2.8541666666666665,0.33416954676310223,0.023063172896703083,0.02302856743335724
5,0.40595560100007333,3.181056,7.156871318817139,-0.25636857748031616,1.078406572341919,nan,0.6878074407577515,0.0,0.0006331951008178294,0.40387290716171265,0.754213273525238,2.1531832218170166,0.5069080591201782,0.0,0.0,nan,nan,0.0,0.0,0.33348135153452557,0.3326478600502014,3.4036458333333335,0.33348135153452557,0.023114323616027832,0.023069344460964203
6,0.40179007400001865,3.181056,7.419216632843018,-0.31374257802963257,0.988661527633667,nan,0.7138495445251465,0.0,0.0010617984225973487,0.4151225984096527,0.8481944799423218,2.150144577026367,0.5070009231567383,0.0,0.0,nan,nan,0.0,0.0,0.3320619463920593,0.3307465612888336,3.5833333333333335,0.3320619463920593,0.023173128565152485,0.023130543529987335
7,0.38863601000002745,3.181056,7.511634826660156,-0.3247084617614746,0.6340709924697876,nan,0.7228431701660156,0.0,0.001717649633064866,0.4200870990753174,0.9206514358520508,2.14658784866333,0.5071679353713989,0.0,0.0,nan,nan,0.0,0.0,0.32994260390599567,0.32800164818763733,4.0,0.32994260390599567,0.0232365479071935,0.023197464644908905
8,0.36490708200005884,3.181056,7.384531497955322,-0.28669703006744385,0.6860222816467285,nan,0.7099466323852539,0.0,0.0025545870885252953,0.4162004590034485,0.9764407873153687,2.142897129058838,0.5073683261871338,0.0,0.0,nan,nan,0.0,0.0,0.32721173763275146,0.3248665928840637,3.984375,0.32721173763275146,0.02329499026139577,0.023257248103618622
9,0.36612242700005027,3.181056,7.158596038818359,-0.20589235424995422,0.6276548504829407,nan,0.6861359477043152,0.0,0.003494036151096225,0.399810254573822,1.0129077434539795,2.139688014984131,0.507540225982666,0.0,0.0,nan,nan,0.0,0.0,0.32437382141749066,0.322167307138443,3.5729166666666665,0.32437382141749066,0.023340145746866863,0.02330988645553589
10,0.3621437839999544,3.181056,7.009578704833984,-0.09946632385253906,0.7801811695098877,nan,0.6709132194519043,0.0,0.004370459821075201,0.37837767601013184,1.0828391313552856,2.1375303268432617,0.5076302289962769,0.0,0.0,nan,nan,0.0,0.0,0.3222557504971822,0.3205318748950958,3.3958333333333335,0.3222557504971822,0.023365589479605358,0.023346535861492157
11,0.3813007410000182,3.181056,7.049197673797607,0.013085187412798405,1.1692051887512207,nan,0.6750454902648926,0.0,0.004949203692376614,0.36783939599990845,1.2396529912948608,2.136524200439453,0.5076388716697693,0.0,0.0,nan,nan,0.0,0.0,0.32144198815027875,0.3201652765274048,3.5885416666666665,0.32144198815027875,0.023369049032529194,0.023346342146396637
12,0.36810699399995883,3.181056,7.2943220138549805,0.12004439532756805,1.1425979137420654,nan,0.6995905637741089,0.0,0.005156565457582474,0.3934997022151947,1.5017142295837402,2.1368765830993652,0.5075823068618774,0.0,0.0,nan,nan,0.0,0.0,0.32183311382929486,0.3203285038471222,3.875,0.32183311382929486,0.023352622985839844,0.023314639925956726
13,0.35927237099997456,3.181056,7.670695781707764,0.21419423818588257,0.9793230295181274,nan,0.7365869283676147,0.0,0.005347117781639099,0.46357032656669617,1.8859899044036865,2.1385421752929688,0.5075010061264038,0.0,0.0,nan,nan,0.0,0.0,0.32276717821757,0.32104870676994324,3.9817708333333335,0.32276717821757,0.023317416508992512,0.023265838623046875
14,0.3665937800000165,3.181056,8.037899017333984,0.2837051451206207,0.7652294635772705,nan,0.7728812098503113,0.0,0.006190288811922073,0.5488928556442261,2.397733688354492,2.141221046447754,0.5074328780174255,0.0,0.0,nan,nan,0.0,0.0,0.3235192497571309,0.3217637538909912,3.9427083333333335,0.3235192497571309,0.02326390395561854,0.023199908435344696
15,0.3966324529999383,3.181056,8.248038291931152,0.3155145049095154,1.0142972469329834,nan,0.7926064729690552,0.0,0.008273301646113396,0.6110820770263672,3.0360171794891357,2.143904447555542,0.5074234008789062,0.0,0.0,nan,nan,0.0,0.0,0.323686679204305,0.32206991314888,3.9973958333333335,0.323686679204305,0.023193339506785076,0.023121453821659088
