iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_tilt,tilt_frac_active,loss_fq,loss_fres,foot_res_abs_mean,foot_res_x_abs_mean,foot_res_y_abs_mean,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,2.1141716439999527,110.598656,1.752647876739502,0.09510800242424011,0.3420998752117157,2.4853515625,0.16700296103954315,0.0,0.0003377581888344139,0.0,0.0,2.174379005737137e-06,9.08643050934188e-06,0.002653932198882103,0.0018428105395287275,0.0018446746980771422,0.29574286937713623,0.004115755204111338,2.7302605303702876e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33795003096262616,0.29620620608329773,2.9576822916666665,0.2570186257362366,0.020044103264808655,-0.10674995183944702
1,0.9489017140001579,111.625728,1.6865237951278687,0.1042918786406517,0.3134593665599823,2.4853515625,0.16049718856811523,0.0,0.0007176547078415751,0.0,0.0,2.3046177375363186e-06,3.807985876846942e-06,0.001698320615105331,0.0009672718006186187,0.0012677665799856186,0.031768739223480225,0.013401133939623833,8.111999341053888e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3370985984802246,0.2934075891971588,3.8540852864583335,0.2561063965161641,0.021348990499973297,-0.07255107164382935
2,0.9743522320000011,111.625728,1.6602107286453247,0.10799871385097504,0.3455432057380676,2.4853515625,0.1572231650352478,0.0,0.0008427910506725311,0.0,0.0,2.322505451957113e-06,4.263886239641579e-06,0.001862325007095933,0.0014738703612238169,0.0010060823988169432,0.02082483470439911,0.04859478399157524,0.00017534357903059572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3356361786524455,0.2920306622982025,3.8790283203125,0.2545711398124695,0.021308449407418568,-0.02905767410993576
3,0.9846161200000552,111.625728,1.5781534910202026,0.11840635538101196,0.3829176723957062,2.4853515625,0.14842963218688965,0.0,0.0008923082496039569,0.0,0.0,2.337540081498446e-06,3.558165872163954e-06,0.0017004541587084532,0.0012678432976827025,0.001073707127943635,0.01927773654460907,0.1222929060459137,0.00030142179457470775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3358641068140666,0.29591238498687744,3.8636067708333335,0.2546948790550232,0.021260010699431103,-0.029109306633472443
4,1.0917362989998765,111.625728,1.4067565202713013,0.14169837534427643,0.4084538221359253,2.4853515625,0.13057419657707214,0.0,0.0009181518107652664,0.0,0.0,2.316219706699485e-06,3.259798859289731e-06,0.0016113872407004237,0.0007391480612568557,0.0013305911561474204,0.015228450298309326,0.25956207513809204,0.0004379552265163511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3365231355031331,0.29860618710517883,3.8608805338541665,0.2553390661875407,0.02121882637341817,-0.029225774109363556
5,1.0213565869999002,111.625728,1.165765404701233,0.17872297763824463,0.41576263308525085,2.4853515625,0.10507377237081528,0.0,0.0009236984769813716,0.0,0.0,2.436603153910255e-06,4.507424819166772e-06,0.0020368050318211317,0.0012194502633064985,0.0015354648930951953,0.01107755210250616,0.49745044112205505,0.0005572900990955532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33691171805063885,0.3037623465061188,3.8693440755208335,0.2557103435198466,0.02116420865058899,-0.033952176570892334
6,0.9720138239999869,111.625728,0.8809435963630676,0.2299799621105194,0.38477084040641785,2.4853515625,0.07493307441473007,0.0,0.0009110399405471981,0.0,0.0,2.5374147298862226e-06,4.189507308183238e-06,0.0016453377902507782,0.0013011512346565723,0.0008742621866986156,0.009067865088582039,0.8886629939079285,0.0006410378264263272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33690834045410156,0.30142855644226074,3.8659261067708335,0.2556975881258647,0.021094930668671925,-0.041564345359802246
7,0.9765489779999825,111.625728,0.6111629009246826,0.29274827241897583,0.31384897232055664,2.4853515625,0.04555495083332062,0.0,0.0008774538873694837,0.0,0.0,2.5653314423834672e-06,3.838074917439371e-06,0.0019135785987600684,0.0013762186281383038,0.0010838131420314312,0.008782039396464825,1.50570809841156,0.0006879243301227689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3364309072494507,0.29839828610420227,3.8665771484375,0.2552567521731059,0.020996806522210438,-0.05004239082336426
8,0.9638640289999785,111.625728,0.39795640110969543,0.36564773321151733,0.20381633937358856,2.4853515625,0.021087568253278732,0.0,0.0008441628888249397,0.0,0.0,2.6072962100442965e-06,2.6067662020068383e-06,0.0015258988132700324,0.0009564454085193574,0.0009902364108711481,0.008880912326276302,2.4571244716644287,0.0007035997696220875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3352617422739665,0.29479050636291504,3.8549397786458335,0.2540890375773112,0.020865708589553833,-0.05864071846008301
9,0.9759914600001593,111.625728,0.3020005226135254,0.440150648355484,0.21457548439502716,2.4853515625,0.00672917440533638,0.0,0.0008500831900164485,0.0,0.0,2.848180656656041e-06,4.4608250391320325e-06,0.001953803701326251,0.0013571528252214193,0.0011349651031196117,0.012766614556312561,3.830810546875,0.0006960034370422363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3328041235605876,0.28986498713493347,3.8278401692708335,0.2516428232192993,0.02076280613740285,-0.06658530235290527
10,0.9660952890001226,111.625728,0.3247997462749481,0.5019764304161072,0.25617915391921997,2.4853515625,0.003042799886316061,0.0,0.0009534438140690327,0.0,0.0,3.1534152640233515e-06,3.615804871515138e-06,0.0017108004540205002,0.0011650100350379944,0.0011498844251036644,0.027262944728136063,5.573683738708496,0.0006701967213302851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32840681076049805,0.27743566036224365,3.7217610677083335,0.2471896012624105,0.02065051595369975,-0.07425755262374878
11,0.9706796729999496,111.625728,0.4054639935493469,0.5394322276115417,0.3113182485103607,2.4853515625,0.00450433325022459,0.0,0.0012815871741622686,0.0,0.0,3.482215106487274e-06,3.492820496830973e-06,0.0017069163732230663,0.0012138206511735916,0.0010637921513989568,0.060044459998607635,7.37179708480835,0.0006277699721977115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321167528629303,0.25984442234039307,3.378173828125,0.2399362325668335,0.020505085587501526,-0.07731246948242188
12,0.9797942790000889,111.625728,0.5004175901412964,0.566963791847229,0.38503170013427734,2.4853515625,0.007633134722709656,0.0,0.002216526074334979,0.0,0.0,3.824400664598215e-06,4.632399395632092e-06,0.00204352755099535,0.0016098199412226677,0.0011118364054709673,0.1905405968427658,8.838863372802734,0.0005742229986935854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31112921237945557,0.23667234182357788,3.2212727864583335,0.22992481787999472,0.020475211242834728,-0.07736450433731079
13,0.9893056939999951,111.625728,0.6263297200202942,0.6052862405776978,0.40038272738456726,2.4853515625,0.014506540261209011,0.0,0.005063903518021107,0.0,0.0,4.345985416875919e-06,2.5851284135569585e-06,0.001497170189395547,0.0006305387942120433,0.0012708124704658985,0.5498427748680115,9.776178359985352,0.0005222954787313938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29945937792460126,0.20787985622882843,3.2067057291666665,0.21833248933156332,0.020375230660041172,-0.07742053270339966
14,1.0438415070000246,111.625728,0.8213313817977905,0.6475860476493835,0.4584487974643707,2.4853515625,0.028629077598452568,0.0,0.012275062501430511,0.0,0.0,4.930325303575955e-06,2.3142192731029354e-06,0.0014715427532792091,0.001205243868753314,0.0007144261035136878,1.0944284200668335,9.982351303100586,0.0004844826180487871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28651026884714764,0.20063267648220062,3.1534016927083335,0.205437699953715,0.020305215070645016,-0.0774693489074707
15,1.104996667000023,111.625728,1.0869423151016235,0.6823658347129822,0.5332364439964294,2.4853515625,0.0509987473487854,0.0,0.027346663177013397,0.0,0.0,5.4174192882783245e-06,4.1614034671511035e-06,0.0018493086099624634,0.0010301538277417421,0.0014154245145618916,1.9093517065048218,9.454893112182617,0.0004723147430922836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27134042978286743,0.20118281245231628,3.1095377604166665,0.1901716192563375,0.020438143362601597,-0.07747846841812134
