iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts
0,0.8060257420002017,3.749888,1.659597396850586,0.09856784343719482,0.6775779128074646,nan,0.16129621863365173,0.0,0.0,0.0
1,0.40706299600060447,5.089792,1.46319580078125,0.12467077374458313,0.5990603566169739,nan,0.1412511169910431,0.0,0.0,0.0
2,0.41136024499974155,5.089792,1.2043207883834839,0.16305477917194366,0.573045551776886,nan,0.11418955028057098,0.0,0.0,0.0
3,0.3987439800002903,5.089792,0.8294228911399841,0.22709062695503235,0.4904864728450775,nan,0.07533549517393112,0.0,0.0,0.0
4,0.4115800069994293,5.089792,0.45169520378112793,0.3157862722873688,0.3014468848705292,nan,0.03487686067819595,0.0,0.0,0.0
5,0.40339892500014685,5.089792,0.20519894361495972,0.4204102158546448,0.09884269535541534,nan,0.007405227981507778,0.0,0.0,0.0
6,0.40676287099995534,5.089792,0.1919853389263153,0.5245108604431152,0.21272094547748566,nan,0.0016908110119402409,0.0,0.0,0.0
7,0.4120493209993583,5.089792,0.32212576270103455,0.5956754684448242,0.3875803053379059,nan,0.009862128645181656,0.0,0.0,0.0
8,0.4015248960004101,5.089792,0.40253058075904846,0.6146833896636963,0.44367489218711853,nan,0.013730868697166443,0.0,0.0,0.0
9,0.4173564560005616,5.089792,0.44598761200904846,0.6233661770820618,0.4258318841457367,nan,0.015777043998241425,0.0,0.0,0.0
10,0.40193622799961304,5.089792,0.536083996295929,0.6430500745773315,0.5186956524848938,nan,0.020844336599111557,0.0,0.0,0.0
11,0.410958598000434,5.089792,0.6180737018585205,0.6630088090896606,0.5591599345207214,nan,0.02687705121934414,0.0,0.0,0.0
12,0.41070806400057336,5.089792,0.6813226938247681,0.6743253469467163,0.5496821403503418,nan,0.03088408336043358,0.0,0.0,0.0
13,0.4088398049989337,5.089792,0.7926954030990601,0.689530611038208,0.5455741286277771,nan,0.036609165370464325,0.0,0.0,0.0
