iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_tilt,tilt_frac_active,loss_fq,loss_fres,foot_res_abs_mean,foot_res_x_abs_mean,foot_res_y_abs_mean,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,3.806895334999979,114.533376,1.7567757368087769,0.09107603132724762,0.7802606225013733,2.4853515625,0.1709374636411667,0.0,0.0005969544290564954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18577709794044495,0.01821151003241539,5.3908268455415964e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33754897117614746,0.29280123114585876,3.36566162109375,0.25658084948857623,0.02063271403312683,-0.10674947500228882
1,1.8026102800000103,115.161088,1.7346677780151367,0.0949169173836708,0.7683118581771851,2.4853515625,0.16786102950572968,0.0,0.0011063546407967806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033344801515340805,0.06796424090862274,0.00025204115081578493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3354496161142985,0.29245898127555847,3.8680419921875,0.25429069995880127,0.021309542159239452,-0.028937920928001404
2,1.8017881470000248,115.357696,1.4416944980621338,0.13253070414066315,0.7342219352722168,2.4853515625,0.13739389181137085,0.0,0.0012850252678617835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023423802107572556,0.267335444688797,0.0006052262033335865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3362579345703125,0.2982928156852722,3.8568115234375,0.2549983064333598,0.021221439043680828,-0.03395885229110718
3,1.7977312060000372,116.537344,0.9977014660835266,0.2020261287689209,0.6382233500480652,2.4853515625,0.09111243486404419,0.0,0.001431037439033389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015156956389546394,0.6591389179229736,0.000936278491280973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3358418544133504,0.299807608127594,3.8601277669270835,0.2545710802078247,0.021085734168688457,-0.05020636320114136
4,1.7724422790000176,116.537344,0.6482270956039429,0.27672266960144043,0.5028309226036072,2.4853515625,0.053132496774196625,0.0,0.0014881431125104427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015861786901950836,1.3008354902267456,0.0010632176417857409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333848237991333,0.2957291901111603,3.8284098307291665,0.2526433865229289,0.020907824238141377,-0.06860554218292236
5,1.775089639999976,116.537344,0.46714067459106445,0.3379610776901245,0.37577328085899353,2.4853515625,0.030021099373698235,0.0,0.001746123074553907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02229487895965576,2.347607135772705,0.0009804549627006054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3292018175125122,0.28352653980255127,3.671630859375,0.247998317082723,0.020726460963487625,-0.07705265283584595
6,1.7876557390000016,116.537344,0.42709070444107056,0.37591373920440674,0.29389774799346924,2.4853515625,0.019103260710835457,0.0,0.002534407190978527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0436512753367424,3.9864501953125,0.0008268013480119407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3207814296086629,0.2522311210632324,3.396484375,0.23950695991516113,0.020584817975759506,-0.07707524299621582
7,1.8090160599999763,116.537344,0.4197978377342224,0.4248555898666382,0.175880566239357,2.4853515625,0.009810933843255043,0.0,0.00500876922160387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13512210547924042,6.34701681137085,0.0007598091615363955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3089027802149455,0.22857606410980225,3.2240804036458335,0.2276716430981954,0.020459110538164776,-0.07714784145355225
8,1.7950209989999735,116.537344,0.4821450710296631,0.5088706016540527,0.21804341673851013,2.4853515625,0.0059324814938008785,0.0,0.012908532284200191,2.7100563215753937e-07,0.0008951823110692203,0.0,0.0,0.0,0.0,0.0,0.43458378314971924,9.228799819946289,0.0008584754541516304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29279961188634235,0.2066405713558197,3.15740966796875,0.21167659759521484,0.020354592551787693,-0.07725715637207031
9,1.8140824410000391,116.537344,0.8360667824745178,0.6053045392036438,0.3740004301071167,2.4853515625,0.030021613463759422,0.0,0.03716335818171501,1.4797158200963167e-06,0.0024210612755268812,0.0,0.0,0.0,0.0,0.0,1.4174690246582031,11.579122543334961,0.0011688973754644394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2673058311144511,0.19137316942214966,3.0832722981770835,0.18610276778539023,0.02051290621360143,-0.07739955186843872
