iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_omega,loss_ctrl,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,1.5825640090000093,2.123776,7.174646854400635,0.096063032746315,0.7491108179092407,nan,0.7106791734695435,0.0,9.405805030837655e-05,0.7478060722351074,0.018662959337234497,0.0,0.0,nan,nan,0.0,0.0,0.33809057871500653,0.335358202457428,2.4088541666666665,0.33809057871500653,0.021420910954475403,0.01166398823261261
1,0.36167739599997617,3.168768,7.078195571899414,0.08612377941608429,0.373512327671051,nan,0.7012068629264832,0.0,0.00031977807520888746,0.40962156653404236,0.10554143786430359,0.0,0.0,nan,nan,0.0,0.0,0.3373453617095947,0.335604727268219,3.3307291666666665,0.3373453617095947,0.023020888368288677,0.02300982177257538
2,0.35739438300001325,3.168768,6.833935737609863,0.02101670578122139,0.42971616983413696,nan,0.676097571849823,0.0,0.0003624992386903614,0.40216001868247986,0.2702813744544983,0.0,0.0,nan,nan,0.0,0.0,0.3350364367167155,0.33406561613082886,3.0442708333333335,0.3350364367167155,0.02301269769668579,0.023008383810520172
3,0.35700839800000495,3.168768,6.681485176086426,-0.07243750989437103,0.38777437806129456,nan,0.6605748534202576,0.0,0.0003655655891634524,0.41591882705688477,0.47830116748809814,0.0,0.0,nan,nan,0.0,0.0,0.33434657255808514,0.3337860107421875,3.0,0.33434657255808514,0.023023207982381184,0.02300884574651718
4,0.35689128000001347,3.168768,6.727992057800293,-0.1705927550792694,0.754438042640686,nan,0.6660511493682861,0.0,0.00039408705197274685,0.441959023475647,0.6477819681167603,0.0,0.0,nan,nan,0.0,0.0,0.33405057589213055,0.3335075080394745,2.8203125,0.33405057589213055,0.023066880802313488,0.023027926683425903
5,0.3586066569999957,3.168768,6.927017688751221,-0.25558170676231384,1.072269082069397,nan,0.6862605810165405,0.0,0.0005811227019876242,0.47289031744003296,0.7769696116447449,0.0,0.0,nan,nan,0.0,0.0,0.3332424759864807,0.33235403895378113,3.2604166666666665,0.3332424759864807,0.02311566472053528,0.02307794988155365
6,0.35706565800001044,3.168768,7.2032341957092285,-0.31439411640167236,0.9881384968757629,nan,0.7136504650115967,0.0,0.0009719107183627784,0.4930926263332367,0.8700975179672241,0.0,0.0,nan,nan,0.0,0.0,0.3317196766535441,0.330335408449173,3.3567708333333335,0.3317196766535441,0.023172942300637562,0.023137636482715607
7,0.35881584900002395,3.168768,7.305193901062012,-0.32622379064559937,0.6271045207977295,nan,0.7235575914382935,0.0,0.0015997070586308837,0.4990086257457733,0.9413847923278809,0.0,0.0,nan,nan,0.0,0.0,0.329532523949941,0.32760298252105713,3.890625,0.329532523949941,0.023235758145650227,0.023198917508125305
8,0.3584421520000092,3.168768,7.185997009277344,-0.2888656556606293,0.6669900417327881,nan,0.7114027738571167,0.0,0.0024148852098733187,0.4893624186515808,0.9964553713798523,0.0,0.0,nan,nan,0.0,0.0,0.32671817143758136,0.32443833351135254,4.0,0.32671817143758136,0.02329432467619578,0.023259863257408142
9,0.35651632099998665,3.168768,6.964216232299805,-0.209041029214859,0.6330428123474121,nan,0.6879765391349792,0.0,0.0033482692670077085,0.45821794867515564,1.0263683795928955,0.0,0.0,nan,nan,0.0,0.0,0.32378443082173664,0.3215674161911011,3.7395833333333335,0.32378443082173664,0.02334019790093104,0.023311421275138855
10,0.3567402790000074,3.168768,6.820718765258789,-0.10463917255401611,0.7782478332519531,nan,0.6732816100120544,0.0,0.004231828730553389,0.41941115260124207,1.0926774740219116,0.0,0.0,nan,nan,0.0,0.0,0.321577529112498,0.31986120343208313,3.5625,0.321577529112498,0.023367176453272503,0.023343481123447418
11,0.35410740600002555,3.168768,6.863161563873291,0.004466393496841192,1.1266075372695923,nan,0.6776905059814453,0.0,0.004790689796209335,0.39100319147109985,1.2444822788238525,0.0,0.0,nan,nan,0.0,0.0,0.32070010900497437,0.3194986879825592,3.5,0.32070010900497437,0.023372861246267956,0.02334471046924591
12,0.35444072599997867,3.168768,7.085237979888916,0.10772348195314407,1.073245882987976,nan,0.6999572515487671,0.0,0.004907851107418537,0.3936009109020233,1.4964320659637451,0.0,0.0,nan,nan,0.0,0.0,0.32106244564056396,0.31963279843330383,3.7682291666666665,0.32106244564056396,0.023358662923177082,0.023317135870456696
13,0.35717078899998,3.168768,7.4232282638549805,0.19918832182884216,0.9123821258544922,nan,0.733191967010498,0.0,0.004833498038351536,0.44214797019958496,1.8439630270004272,0.0,0.0,nan,nan,0.0,0.0,0.32199275493621826,0.3201088309288025,3.9635416666666665,0.32199275493621826,0.023326873779296875,0.023272447288036346
14,0.35490918399997895,3.168768,7.752232074737549,0.267689049243927,0.7697727084159851,nan,0.7658016085624695,0.0,0.005195443984121084,0.517030656337738,2.275529146194458,0.0,0.0,nan,nan,0.0,0.0,0.3228177825609843,0.3210625946521759,4.0,0.3228177825609843,0.023277712364991505,0.0232105553150177
