iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_tilt,tilt_frac_active,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,0.7230732369999942,2.134528,7.174688816070557,0.096063032746315,0.7491121888160706,nan,0.7106791734695435,0.0,9.405805030837655e-05,0.0,0.0,0.7478060722351074,0.018662959337234497,0.0003205443499609828,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.33809057871500653,0.335358202457428,2.5677083333333335,0.33809057871500653,0.021420910954475403,0.01166398823261261
1,0.3812485880000054,3.18208,7.079291343688965,0.08613879233598709,0.37334445118904114,nan,0.7012943625450134,0.0,0.00031977775506675243,0.0,0.0,0.40996217727661133,0.10553714632987976,0.0021783686242997646,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.33734552065531415,0.3356034457683563,3.5442708333333335,0.33734552065531415,0.023020893335342407,0.023009739816188812
2,0.3801882619999901,3.18208,6.834925174713135,0.02105487696826458,0.40259212255477905,nan,0.6761385798454285,0.0,0.0003623283701017499,0.0,0.0,0.40193867683410645,0.27041929960250854,0.005858738906681538,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3350358804066976,0.3340626060962677,3.3203125,0.3350358804066976,0.023012700180212658,0.02300829440355301
3,0.38049215699999195,3.18208,6.682400703430176,-0.07289424538612366,0.38783755898475647,nan,0.6605637669563293,0.0,0.000368555512977764,0.0,0.0,0.4158038794994354,0.4768972098827362,0.011360677890479565,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.33435332775115967,0.33380258083343506,3.2734375,0.33435332775115967,0.02302268147468567,0.02300882339477539
4,0.3795358720000195,3.18208,6.733318328857422,-0.1719142496585846,0.7559787631034851,nan,0.6664085984230042,0.0,0.0004079740901943296,0.0,0.0,0.44063735008239746,0.6449519395828247,0.018730169162154198,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3340885639190674,0.3335668742656708,2.7864583333333335,0.3340885639190674,0.02306581785281499,0.023027487099170685
5,0.37788539799998944,3.18208,6.937463283538818,-0.2571277916431427,1.073116421699524,nan,0.6870388984680176,0.0,0.0006119808531366289,0.0,0.0,0.46884605288505554,0.7728082537651062,0.028051912784576416,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3333294192949931,0.33246567845344543,3.5104166666666665,0.3333294192949931,0.02311673512061437,0.023073002696037292
6,0.3804479469999933,3.18208,7.2076520919799805,-0.31446292996406555,0.9893732666969299,nan,0.7137150764465332,0.0,0.0010233158245682716,0.0,0.0,0.4875316619873047,0.8652870059013367,0.03938524052500725,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3318609992663066,0.33049067854881287,3.765625,0.3318609992663066,0.02317549039920171,0.023136280477046967
7,0.3804965830000242,3.18208,7.298850059509277,-0.32476407289505005,0.6245735287666321,nan,0.7224151492118835,0.0,0.0016670345794409513,0.0,0.0,0.49317091703414917,0.937370777130127,0.052748337388038635,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3297124703725179,0.3277997076511383,3.9453125,0.3297124703725179,0.023238738377888996,0.02320258319377899
8,0.38211710100000573,3.18208,7.174846649169922,-0.2858206033706665,0.6675180792808533,nan,0.7096359133720398,0.0,0.00249262573197484,0.0,0.0,0.48246586322784424,0.9929660558700562,0.0680621787905693,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.32694290081659955,0.32464680075645447,3.9791666666666665,0.32694290081659955,0.02329719563325246,0.023263566195964813
9,0.38055639000003794,3.18208,6.954387187957764,-0.2043544352054596,0.6250844597816467,nan,0.6861799955368042,0.0,0.003416443709284067,0.0,0.0,0.4522061049938202,1.0251140594482422,0.08512687683105469,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.32407089074452716,0.3218461871147156,3.6979166666666665,0.32407089074452716,0.023342370986938477,0.023315750062465668
