iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts
0,1.6575155880000239,106.054656,1.4499026536941528,0.12698811292648315,0.627887487411499,nan,0.14025267958641052,0.0,0.0,0.0
1,0.7953576859999885,106.15808,1.235951542854309,0.15975069999694824,0.5399943590164185,nan,0.11856957525014877,0.0,0.0,0.0
2,0.7910185769997042,108.320768,1.021828055381775,0.19963416457176208,0.5045527815818787,nan,0.09589917957782745,0.0,0.0,0.0
3,0.7908403719993657,108.320768,0.7716842293739319,0.24865064024925232,0.4378879964351654,nan,0.0693482756614685,0.0,0.0,0.0
4,0.8002069969988952,108.320768,0.4824378192424774,0.3200943171977997,0.2922275960445404,nan,0.03812190517783165,0.0,0.0,0.0
5,0.7966093000013643,108.320768,0.2755129635334015,0.410422682762146,0.10009071975946426,nan,0.013840323314070702,0.0,0.0,0.0
6,0.7979430399991543,108.320768,0.2575293183326721,0.49286723136901855,0.13887472450733185,nan,0.00740480050444603,0.0,0.0,0.0
7,0.799295427999823,111.007744,0.36132049560546875,0.5573279857635498,0.2989760637283325,nan,0.012803740799427032,0.0,0.0,0.0
8,0.7992751189995033,111.007744,0.4576367437839508,0.5844591856002808,0.3651915192604065,nan,0.017941197380423546,0.0,0.0,0.0
9,0.8029540070001531,111.007744,0.5251902937889099,0.6006679534912109,0.3776452839374542,nan,0.021105846390128136,0.0,0.0,0.0
10,0.7956556459994317,111.007744,0.6087221503257751,0.6265347003936768,0.45265018939971924,nan,0.026536975055933,0.0,0.0,0.0
11,0.8122842430002493,111.007744,0.7145919799804688,0.6565744876861572,0.5341656804084778,nan,0.034277625381946564,0.0,0.0,0.0
12,0.8404547000009188,111.007744,0.8268819451332092,0.6817500591278076,0.5795119404792786,nan,0.04201800748705864,0.0,0.0,0.0
13,0.8551535560000048,111.007744,1.0268405675888062,0.6905232071876526,0.558357298374176,nan,0.056900035589933395,0.0,0.0,0.0
14,0.8458654120004212,111.007744,2.069042444229126,0.42894530296325684,0.626910924911499,nan,0.15886805951595306,0.0,0.0,0.0
15,0.8216163479992247,111.007744,4.945884704589844,-0.13606640696525574,2.9102792739868164,nan,0.45120295882225037,0.0,0.0,0.0
16,0.8289799920003134,111.007744,4.85742712020874,-0.15551862120628357,2.7368881702423096,nan,0.4419533610343933,0.0,0.0,0.0
17,0.8377053200001683,111.007744,3.2255094051361084,-0.016168570145964622,2.190481662750244,nan,0.2805202603340149,0.0,0.0,0.0
18,0.8292560549998598,111.007744,2.5947940349578857,0.050869133323431015,1.837608814239502,nan,0.21730582416057587,0.0,0.0,0.0
19,0.8204025629984244,111.007744,2.7522804737091064,0.04166489094495773,1.8852612972259521,nan,0.23228351771831512,0.0,0.0,0.0
20,0.8242627660001745,111.007744,3.0643470287323,0.012584309093654156,1.8152997493743896,nan,0.2626761794090271,0.0,0.0,0.0
