mode,n_seeds,smooth slope,rough slope,stairs down,stairs up,discrete obstacles
blind_rudin,3,0.0032441392375088794,0.0,0.0,0.001953125,0.00040749796251018743
blind_rudin_fwd,3,0.17864077669902914,0.0,0.009470752089136492,0.0,0.01764705882352941
blind_rudin_rand,1,0.038834951456310676,0.0,0.0,0.0,0.0
depth,1,0.009732417712526639,0.0,0.0,0.001953125,0.0024449877750611247
fhold_fwd,1,0.016181229773462782,0.0032679738562091504,0.21355617455896006,0.0078125,0.026143790849673203
fz_fwd,1,0.18446601941747573,0.0,0.005571030640668524,0.0,0.027777777777777776
height,3,0.009732417712526639,0.0016339869281045752,0.0,0.00390625,0.0016299918500407497
hloss,3,0.02757913016023364,0.0032679738562091504,0.00046490004649000463,0.009114583333333334,0.0016299918500407497
hobs,3,0.005675270344936458,0.0016339869281045752,0.0,0.0006510416666666666,0.00040749796251018743
hobs_fwd,1,0.11650485436893204,0.0,0.022284122562674095,0.0,0.00980392156862745
