dir,experiment,condition,mode,variant,num_envs,seed,steps_per_iter,sim_seconds,iters_timed,it_per_s_median,it_per_s_p10,it_per_s_p90,robot_steps_per_s,peak_mem_mb,total_wall_s,final_terrain_level,final_loss,final_vx,gpu
bench/cuda_B1024,exp1,blind,blind,cuda,1024,0,24,4.8,80,1.4876086085576967,1.4192624291214113,1.5715027582103727,36559.46916391396,53.161472,68.28833467199911,nan,1.9293955564498901,0.18503105640411377,NVIDIA GeForce GTX 1660 Ti
bench/cuda_B16,exp1,blind,blind,cuda,16,0,24,4.8,80,2.581072690162333,2.5263356272151354,2.6436395342384054,991.1319130223358,3.161088,40.305113347998486,nan,0.7729979157447815,0.5387173295021057,NVIDIA GeForce GTX 1660 Ti
bench/cuda_B2048,exp1,blind,blind,cuda,2048,0,24,4.8,80,1.1219081072918435,1.0959443108820897,1.1666642300698546,55144.0272896087,111.007744,89.43092360800074,nan,1.5612930059432983,0.24793973565101624,NVIDIA GeForce GTX 1660 Ti
bench/cuda_B256,exp1,blind,blind,cuda,256,0,24,4.8,80,1.9343172405605915,1.8464551851423527,2.009719710736058,11884.445126004273,14.076416,53.46706694199929,nan,2.483534336090088,0.1938060075044632,NVIDIA GeForce GTX 1660 Ti
bench/cuda_B4096,exp1,blind,blind,cuda,4096,0,24,4.8,80,0.7313764411228146,0.7167683517525324,0.763317020172946,71897.22966813717,214.08768,136.75069156599784,nan,1.0143707990646362,0.2992613911628723,NVIDIA GeForce GTX 1660 Ti
bench/cuda_B64,exp1,blind,blind,cuda,64,0,24,4.8,80,2.4208049926611213,2.3263618259004315,2.4867023578961884,3718.356468727482,5.090304,43.14711531900139,nan,2.167003870010376,0.2971630394458771,NVIDIA GeForce GTX 1660 Ti
bench/torch_B1024,exp1,blind,blind,torch,1024,0,24,4.8,80,1.3591648595223307,1.3252066342257987,1.4115644826674358,33402.8355876208,56.952832,75.22963391100166,nan,1.8804343938827515,0.19089969992637634,NVIDIA GeForce GTX 1660 Ti
bench/torch_B16,exp1,blind,blind,torch,16,0,24,4.8,80,2.0476547893805663,1.9948873522755277,2.0976388637334793,786.2994391221375,3.268608,50.38951139500023,nan,0.9185488820075989,0.6123358607292175,NVIDIA GeForce GTX 1660 Ti
bench/torch_B2048,exp1,blind,blind,torch,2048,0,24,4.8,80,1.0697569623204284,1.051156781090189,1.0926655833775498,52580.69421197369,118.601216,95.12147000900222,nan,1.2841596603393555,0.2789708375930786,NVIDIA GeForce GTX 1660 Ti
bench/torch_B256,exp1,blind,blind,torch,256,0,24,4.8,80,1.629362382334629,1.538764909514902,1.7039808261660518,10010.80247706396,14.99648,63.32855154000026,nan,2.1841535568237305,0.22626259922981262,NVIDIA GeForce GTX 1660 Ti
bench/torch_B4096,exp1,blind,blind,torch,4096,0,24,4.8,80,0.7100971363308624,0.6978790944526874,0.7283682503303257,69805.3888898691,229.25056,142.2748814919978,nan,0.96769779920578,0.3201669454574585,NVIDIA GeForce GTX 1660 Ti
bench/torch_B64,exp1,blind,blind,torch,64,0,24,4.8,80,1.9653857615788493,1.882878326789184,2.0198807820399796,3018.8325297851125,5.320192,52.78153974399902,nan,2.3557798862457275,0.2651791572570801,NVIDIA GeForce GTX 1660 Ti
diag20/blind_rudin_fwd_s0,campaign,blind,blind_rudin_fwd,cuda,1024,0,24,40.8,830,1.012705546066081,0.9521457370185615,1.060615541287686,24888.251500120008,64.652288,845.667839599,0.0224609375,0.9957833290100098,0.3366689383983612,NVIDIA GeForce GTX 1660 Ti
diag20/blind_rudin_rand_s0,campaign,random commands,blind_rudin_rand,cuda,1024,0,24,40.8,830,0.9814720325322042,0.9095093918908781,1.0360542337499898,24120.65667151145,64.617472,872.422414273,0.00390625,1.364598274230957,0.3812508285045624,NVIDIA GeForce GTX 1660 Ti
diag20/hobs_fwd_s0,campaign,height map (obs),hobs_fwd,cuda,1024,0,24,40.8,830,0.9568393210485803,0.9010919802966596,1.0064984129183527,23515.28315408991,106.36032,892.3873570349997,0.021484375,0.8911691904067993,0.341751366853714,NVIDIA GeForce GTX 1660 Ti
diag21/rudin_fwd_w0_s1,campaign,blind,blind_rudin_fwd,cuda,1024,1,24,40.8,830,1.0056785660344612,0.9559114256025064,1.0581620403514669,24715.556438862917,64.6528,847.5553146729999,0.0283203125,0.9457690119743347,0.3370566964149475,NVIDIA GeForce GTX 1660 Ti
diag21/rudin_fwd_w0_s2,campaign,blind,blind_rudin_fwd,cuda,1024,2,24,40.8,830,1.0122054967735967,0.9517608941174848,1.0695212399613,24875.962288707913,64.671232,843.3416309819997,0.0146484375,0.9477200508117676,0.3389168381690979,NVIDIA GeForce GTX 1660 Ti
diag21/rudin_fwd_w16,campaign,tilt w=16,blind_rudin_fwd,cuda,1024,0,24,40.8,830,1.013949230620048,0.9503759129097922,1.062121918239812,24918.8162917183,64.653312,845.426829734,0.0380859375,0.9347735047340393,0.35128098726272583,NVIDIA GeForce GTX 1660 Ti
diag21/rudin_fwd_w48,campaign,tilt w=48,blind_rudin_fwd,cuda,1024,0,24,40.8,830,1.0223066665476341,0.9561859286362295,1.066843090309338,25124.208637074655,64.636928,839.6102479330001,0.0205078125,1.0505449771881104,0.3721453845500946,NVIDIA GeForce GTX 1660 Ti
diag22/fz_off,campaign,swing target off,fz_fwd,cuda,1024,0,24,40.8,830,0.9976448403711865,0.9461785654421482,1.0496882733593775,24518.11959696228,100.091904,855.126669274,0.0166015625,0.9710199236869812,0.33284419775009155,NVIDIA GeForce GTX 1660 Ti
diag22/fz_z,campaign,swing target z,fz_fwd,cuda,1024,0,24,40.8,830,1.003897203735111,0.9536819594969992,1.0469465317728528,24671.77767899409,100.108288,852.1318872680004,0.0390625,0.9506101012229919,0.35630637407302856,NVIDIA GeForce GTX 1660 Ti
diag22/fz_za,campaign,swing target z+apex,fz_fwd,cuda,1024,0,24,40.8,830,0.9927889336727919,0.9432371034731027,1.0361716228590754,24398.780833942532,100.091904,861.8310602379997,0.0224609375,0.8854167461395264,0.3559836745262146,NVIDIA GeForce GTX 1660 Ti
