iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_tilt,tilt_frac_active,loss_fq,loss_fres,foot_res_abs_mean,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,2.886099704000003,110.511616,1.7082598209381104,0.09602408856153488,0.3197019100189209,2.4853515625,0.16627541184425354,0.0,0.0003312767657916993,0.0,0.0,2.147633267668425e-06,4.318175342632458e-06,0.001935657113790512,0.2784857451915741,0.0036912669893354177,2.7182139092474245e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33787234624226886,0.2961282432079315,2.9201253255208335,0.25694098075230914,0.019980681439240772,-0.10674601793289185
1,0.9352236310000137,111.530496,1.6520966291427612,0.10432107746601105,0.31082043051719666,2.4853515625,0.16048964858055115,0.0,0.0006913521210663021,0.0,0.0,2.3057564249029383e-06,1.2575540040415945e-06,0.0009439059067517519,0.03056231699883938,0.013141222298145294,7.947022095322609e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3368094364802043,0.2928391993045807,3.8527425130208335,0.25581006209055585,0.021275336543718975,-0.07317036390304565
2,0.9298742830000037,111.530496,1.619669795036316,0.10871951282024384,0.34472835063934326,2.4853515625,0.15665309131145477,0.0,0.0008531374623999,0.0,0.0,2.340631908737123e-06,3.3040669222828e-06,0.0015732566826045513,0.018843136727809906,0.051820602267980576,0.00016963572124950588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33518187204996747,0.2916395366191864,3.8776448567708335,0.25409040848414105,0.021319078902403515,-0.029016755521297455
3,0.9329482359999872,111.530496,1.514538049697876,0.12222470343112946,0.3807970881462097,2.4853515625,0.1454981565475464,0.0,0.0009493132820352912,0.0,0.0,2.358164920224226e-06,4.140906639804598e-06,0.001797593547962606,0.01604512706398964,0.12894809246063232,0.0002886916045099497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33521294593811035,0.29517245292663574,3.8669840494791665,0.2540205121040344,0.021266810595989227,-0.02910503000020981
4,0.9417197679999845,111.530496,1.3127087354660034,0.15022309124469757,0.39957723021507263,2.4853515625,0.12450811266899109,0.0,0.0009993346175178885,0.0,0.0,2.324221441085683e-06,3.044158347620396e-06,0.001678225351497531,0.013455664739012718,0.2686687111854553,0.00041393941501155496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33563629786173504,0.2976497411727905,3.8650716145833335,0.25445552666982013,0.021220530072848003,-0.030545532703399658
