iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts
0,0.8989497919992573,3.979776,1.6595948934555054,0.09856784343719482,0.6775782108306885,nan,0.16129621863365173,0.0,0.0,0.0
1,0.5028524680001283,5.31968,1.4631246328353882,0.12467914819717407,0.5990520119667053,nan,0.1412438452243805,0.0,0.0,0.0
2,0.5091815109990421,5.31968,1.2043534517288208,0.16305053234100342,0.5730354189872742,nan,0.11419324576854706,0.0,0.0,0.0
3,0.495230927999728,5.31968,0.8292225003242493,0.22713115811347961,0.4904545843601227,nan,0.07531549036502838,0.0,0.0,0.0
4,0.5122868260004907,5.31968,0.4517117738723755,0.31579500436782837,0.300761342048645,nan,0.034876227378845215,0.0,0.0,0.0
5,0.5020989200002077,5.31968,0.20512384176254272,0.4204806387424469,0.09939756244421005,nan,0.007393864449113607,0.0,0.0,0.0
6,0.5084301970000524,5.31968,0.1920037418603897,0.5244846343994141,0.2126838117837906,nan,0.0016928492113947868,0.0,0.0,0.0
7,0.5043061450014648,5.31968,0.32185104489326477,0.5955446362495422,0.3879062235355377,nan,0.009839843958616257,0.0,0.0,0.0
8,0.5085194110015436,5.31968,0.401890367269516,0.6144280433654785,0.44288238883018494,nan,0.013676386326551437,0.0,0.0,0.0
9,0.504292171999623,5.31968,0.4452330470085144,0.6231276988983154,0.42507219314575195,nan,0.0157149750739336,0.0,0.0,0.0
10,0.5064604180006427,5.31968,0.534884512424469,0.6427162885665894,0.5171907544136047,nan,0.02074633166193962,0.0,0.0,0.0
11,0.5033405690010113,5.31968,0.6167417764663696,0.6626733541488647,0.5575640797615051,nan,0.026772763580083847,0.0,0.0,0.0
12,0.5032834039993759,5.31968,0.679947555065155,0.6740021109580994,0.547938883304596,nan,0.03078708052635193,0.0,0.0,0.0
13,0.5129729500004032,5.31968,0.7904543280601501,0.6890227794647217,0.5434268116950989,nan,0.03642652928829193,0.0,0.0,0.0
