iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_tilt,tilt_frac_active,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,2.7379352309999945,63.990272,1.7404112815856934,0.09239700436592102,0.6790594458580017,2.4853515625,0.16925746202468872,0.0,0.00035163524444215,0.0,0.0,0.3241768479347229,0.018281221389770508,2.7108457288704813e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3379872639973958,0.29612886905670166,2.9181722005208335,0.2570558786392212,0.019965048879384995,-0.106753408908844
1,0.8936270199999967,64.617984,1.5999075174331665,0.1117582693696022,0.6174769401550293,2.4853515625,0.154822438955307,0.0,0.0007644248544238508,0.0,0.0,0.04444395750761032,0.06533828377723694,8.049344614846632e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3371749718983968,0.2927868962287903,3.8610026041666665,0.2561742067337036,0.021236906449000042,-0.07311517000198364
2,0.8961269639999898,64.617984,1.3398334980010986,0.1480189859867096,0.5910422801971436,2.4853515625,0.12774257361888885,0.0,0.0008725988445803523,0.0,0.0,0.047507040202617645,0.23340994119644165,0.00018425779126118869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33592228094736737,0.2924281060695648,3.8905029296875,0.25480759143829346,0.021296511093775432,-0.029058486223220825
3,0.8963286449999828,64.617984,0.9364885091781616,0.21242040395736694,0.5051701664924622,2.4853515625,0.08588018268346786,0.0,0.0009706909768283367,0.0,0.0,0.049898624420166016,0.6063250303268433,0.00035731852403841913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3364427884419759,0.29632943868637085,3.8777669270833335,0.25525856018066406,0.021223684151967365,-0.029290959239006042
4,0.8968515040000113,64.617984,0.5220543146133423,0.301528662443161,0.32138770818710327,2.4853515625,0.042146556079387665,0.0,0.0011325111845508218,0.0,0.0,0.03997856751084328,1.2892842292785645,0.00060829590074718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3372448682785034,0.3028517961502075,3.8671875,0.2560601830482483,0.021144549051920574,-0.03407794237136841
5,0.8988336790000062,64.617984,0.24770674109458923,0.40792813897132874,0.11314572393894196,2.4853515625,0.011275078170001507,0.0,0.0012291332241147757,0.0,0.0,0.025682523846626282,2.3645427227020264,0.0009059460717253387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33718732992808026,0.2993994653224945,3.8548177083333335,0.25598446528116864,0.021011829376220703,-0.04380148649215698
6,0.8999258089999955,64.617984,0.21127836406230927,0.5135557651519775,0.19011643528938293,2.4853515625,0.0032613277435302734,0.0,0.001176011748611927,0.0,0.0,0.03154994174838066,3.8010387420654297,0.001173154218122363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3354487419128418,0.29359814524650574,3.8447672526041665,0.2542756001154582,0.020876288414001465,-0.05417221784591675
7,0.8997613159999958,64.617984,0.3375411927700043,0.5913492441177368,0.3783625066280365,2.4853515625,0.011262752115726471,0.0,0.001140802982263267,0.0,0.0,0.07185591757297516,4.928134918212891,0.0013091651489958167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33107980092366535,0.2846400737762451,3.74560546875,0.24986255168914795,0.02072020744283994,-0.06370759010314941
8,0.9041856860000053,64.617984,0.4313961863517761,0.6184200048446655,0.4456673562526703,2.4853515625,0.016767418012022972,0.0,0.0015264786779880524,0.0,0.0,0.16434261202812195,5.3480658531188965,0.0012724412372335792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32277774810791016,0.2627679407596588,3.2691650390625,0.2415252923965454,0.020567599684000015,-0.06904411315917969
9,0.8898051940000187,64.617984,0.49328431487083435,0.6295628547668457,0.45233508944511414,2.4853515625,0.019462935626506805,0.0,0.003322064643725753,0.0,0.0,0.46907374262809753,5.2217841148376465,0.0011605076724663377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31128038962682086,0.25080516934394836,3.2094319661458335,0.23006069660186768,0.020499251782894135,-0.07292330265045166
10,0.901913129999997,64.617984,0.5807061791419983,0.6496573686599731,0.5319443941116333,2.4853515625,0.024932293221354485,0.0,0.009048941545188427,0.0,0.0,1.0835819244384766,4.725242614746094,0.0011105797020718455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29890934626261395,0.24293474853038788,3.1983642578125,0.2177467942237854,0.020404982070128124,-0.07409429550170898
11,0.9077042229999961,64.617984,0.6887191534042358,0.6684005260467529,0.5768232345581055,2.4853515625,0.03303264081478119,0.0,0.02266579493880272,0.0,0.0,1.9598960876464844,4.00269889831543,0.00121114042121917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2859782377878825,0.2281607836484909,3.2041829427083335,0.20487006505330405,0.020511517922083538,-0.07407420873641968
12,0.8758464569999944,64.617984,0.8298097848892212,0.6700478792190552,0.5484286546707153,2.4853515625,0.044174712151288986,0.0,0.050507865846157074,0.0,0.0,3.511874198913574,3.157954216003418,0.0015598677564412355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272158682346344,0.21633614599704742,3.1988525390625,0.19098134835561117,0.02068137253324191,-0.0736272931098938
13,0.8553958450000039,64.617984,1.0684230327606201,0.655882716178894,0.4432104527950287,2.4853515625,0.06344325840473175,0.0,0.10388531535863876,8.935733819548375e-10,8.138021075865254e-05,6.267474174499512,2.2686514854431152,0.002279591513797641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25751161575317383,0.20084628462791443,2.2220458984375,0.17641478776931763,0.0206809900701046,-0.07084530591964722
14,0.8562049109999919,64.617984,1.674165964126587,0.4897133708000183,0.5590506792068481,2.4853515625,0.11996819823980331,0.0,0.19325554370880127,3.172612650814699e-06,0.0063069663010537624,7.396492958068848,1.4474208354949951,0.003560626646503806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2449864943822225,0.21785759925842285,1.7924397786458333,0.1638148327668508,0.020607002079486847,-0.06517493724822998
15,0.8548792340000091,64.617984,4.854676246643066,-0.12125639617443085,2.9478163719177246,2.4853515625,0.44311314821243286,0.0,0.26735353469848633,0.00010046111128758639,0.0620524100959301,3.217109441757202,1.0263276100158691,0.005023082252591848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2569078803062439,0.20313763618469238,1.7667236328125,0.17544045050938925,0.020550865679979324,-0.05752748250961304
16,0.8593931229999896,64.617984,4.820736885070801,-0.14117127656936646,1.2136565446853638,2.4755859375,0.435177206993103,0.0,0.3570508360862732,0.001740338047966361,0.8255615234375,5.743050575256348,0.749835193157196,0.028565730899572372,0.0,10.0,0.0,0.0,10.0,0.0,10.0,0.2765108148256938,0.19616329669952393,1.8373209635416667,0.19423198699951172,0.020628035068511963,-0.05077391862869263
17,0.8592297410000072,64.617984,3.2756197452545166,-0.014229761436581612,0.7549645900726318,2.4638671875,0.27452224493026733,0.0,0.431388795375824,0.007231662981212139,0.9408773183822632,1.9964016675949097,0.6229077577590942,0.04089367389678955,0.0,17.0,0.0,0.0,17.0,0.0,17.0,0.2895541985829671,0.22009551525115967,1.266845703125,0.20581052700678507,0.020754038045803707,-0.04592704772949219
18,0.8704052360000105,64.617984,2.717946767807007,0.05162147805094719,0.7489200830459595,2.4560546875,0.21062970161437988,0.0,0.4673458933830261,0.012691795825958252,0.933349609375,0.6599370241165161,0.5583966970443726,0.03443033993244171,0.0,11.0,0.0,0.0,11.0,0.0,11.0,0.2966597080230713,0.24084728956222534,1.262451171875,0.21206971009572348,0.020754124969244003,-0.04159258306026459
19,0.9055109249999873,64.617984,2.9700722694396973,0.032760828733444214,0.3585304915904999,2.44140625,0.2303626984357834,0.0,0.48054689168930054,0.016005385667085648,0.9217122793197632,0.28774070739746094,0.5436936616897583,0.04151640832424164,0.0,16.0,0.0,0.0,16.0,0.0,16.0,0.30030252536137897,0.23381781578063965,1.5491129557291667,0.21500245730082193,0.02065037687619527,-0.041559889912605286
20,0.8995275300000003,64.617984,3.2106165885925293,0.011062389239668846,0.6737047433853149,2.4365234375,0.25235533714294434,0.0,0.4836549758911133,0.017313076183199883,0.9139811396598816,0.17243218421936035,0.5599560141563416,0.0281011164188385,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.3012527624766032,0.24151988327503204,1.8025309244791667,0.2154332399368286,0.020672769596179325,-0.04188886284828186
