iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts
0,1.267499591998785,52.51584,1.5216395854949951,0.11719142645597458,0.643346905708313,nan,0.14749561250209808,0.0,0.0,0.0
1,0.6224609380005859,53.143552,1.3731733560562134,0.1385105550289154,0.5763219594955444,nan,0.13227184116840363,0.0,0.0,0.0
2,0.612604932000977,53.143552,1.2068777084350586,0.16469740867614746,0.5691171884536743,nan,0.11437554657459259,0.0,0.0,0.0
3,0.6166364719992998,53.143552,0.8897066116333008,0.21866655349731445,0.5034399032592773,nan,0.08119921386241913,0.0,0.0,0.0
4,0.6155999359998532,53.143552,0.5189803838729858,0.3010150194168091,0.33160096406936646,nan,0.04191887378692627,0.0,0.0,0.0
5,0.6123510369998257,53.143552,0.2567615807056427,0.40300706028938293,0.11132851988077164,nan,0.012274354696273804,0.0,0.0,0.0
6,0.6211561130003247,53.143552,0.218507781624794,0.4959218204021454,0.15102997422218323,nan,0.003920173272490501,0.0,0.0,0.0
7,0.6184945160002826,53.143552,0.32612344622612,0.5711119771003723,0.336542546749115,nan,0.009706664830446243,0.0,0.0,0.0
8,0.6168157069987501,53.143552,0.425760418176651,0.6005105972290039,0.4123794138431549,nan,0.014967302791774273,0.0,0.0,0.0
9,0.6185457570009021,53.143552,0.4885159432888031,0.6141980886459351,0.422298789024353,nan,0.01783471554517746,0.0,0.0,0.0
10,0.6189641829987522,53.143552,0.5725915431976318,0.6377850770950317,0.4986434280872345,nan,0.02340124547481537,0.0,0.0,0.0
11,0.6254612129996531,53.143552,0.6750763058662415,0.6656885743141174,0.5782986283302307,nan,0.03135310485959053,0.0,0.0,0.0
12,0.6241968239992275,53.143552,0.7809850573539734,0.6876405477523804,0.6196982860565186,nan,0.038693949580192566,0.0,0.0,0.0
13,0.64717921600095,53.143552,0.9196621179580688,0.7102800607681274,0.6532250642776489,nan,0.04750522971153259,0.0,0.0,0.0
14,0.6516305910008668,53.143552,1.5191291570663452,0.5392731428146362,0.43983227014541626,nan,0.10286369919776917,0.0,0.0,0.0
15,0.6356724170000234,53.143552,4.985247611999512,-0.131466805934906,2.951103925704956,nan,0.4550113379955292,0.0,0.0,0.0
16,0.6331004509993363,53.143552,5.2659173011779785,-0.1905113309621811,2.970242500305176,nan,0.48223909735679626,0.0,0.0,0.0
17,0.64576705699983,53.143552,3.480567455291748,-0.04606892541050911,2.279789447784424,nan,0.3057452142238617,0.0,0.0,0.0
18,0.6394451189989923,53.143552,2.6289470195770264,0.03923650458455086,1.8950833082199097,nan,0.22062771022319794,0.0,0.0,0.0
19,0.6322896639994724,53.143552,2.750009536743164,0.031077513471245766,1.9159324169158936,nan,0.23190924525260925,0.0,0.0,0.0
