iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_tilt,tilt_frac_active,loss_fq,loss_fres,foot_res_abs_mean,foot_res_x_abs_mean,foot_res_y_abs_mean,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,2.772214627000011,109.332992,1.7078543901443481,0.09599044919013977,0.31972044706344604,2.4853515625,0.1662604659795761,0.0,0.0003313541819807142,0.0,0.0,2.1476689653354697e-06,4.3185364120290615e-06,0.0019357490818947554,0.0019357490818947554,0.0,0.2786090075969696,0.003691201563924551,2.7155452698934823e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3378715515136719,0.2961282432079315,2.9380696614583335,0.2569401264190674,0.019999583562215168,-0.10674601793289185
1,0.9242575559999864,114.45504,1.6517330408096313,0.10431043803691864,0.31074774265289307,2.4853515625,0.16046851873397827,0.0,0.0006914566038176417,0.0,0.0,2.2952719973545754e-06,3.724637281266041e-06,0.0016058310866355896,0.0016058310866355896,0.0,0.03055730275809765,0.013078628107905388,7.945085235405713e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33680808544158936,0.29284000396728516,3.8517252604166665,0.2558087309201558,0.02125570923089981,-0.07432025671005249
2,0.9242383570000072,114.45504,1.619261384010315,0.10871602594852448,0.3445700407028198,2.4853515625,0.15662303566932678,0.0,0.0008525339653715491,0.0,0.0,2.3293382582778577e-06,4.95234507980058e-06,0.0014703499618917704,0.0014703499618917704,0.0,0.01888139918446541,0.0516444593667984,0.00017002553795464337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33518195152282715,0.2916348874568939,3.8804117838541665,0.2540898521741231,0.0213191956281662,-0.02901829034090042
3,0.9268406670000218,114.45504,1.5140373706817627,0.12225319445133209,0.38058099150657654,2.4853515625,0.14545591175556183,0.0,0.00094855937641114,0.0,0.0,2.354390744585544e-06,7.466008355550002e-06,0.0018060836009681225,0.0018060836009681225,0.0,0.016108393669128418,0.12901154160499573,0.00029010872822254896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33521493275960285,0.2951657474040985,3.8669840494791665,0.2540225386619568,0.021266897519429524,-0.029107145965099335
4,0.9339476389999959,114.45504,1.3123689889907837,0.15022844076156616,0.3993873596191406,2.4853515625,0.12448450177907944,0.0,0.0009986083023250103,0.0,0.0,2.3333620902121766e-06,1.0993807336490136e-05,0.002290202770382166,0.002290202770382166,0.0,0.013411354273557663,0.26858511567115784,0.0004168218874838203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3356410264968872,0.2976453900337219,3.8640543619791665,0.2544607917467753,0.021220490336418152,-0.030566155910491943
5,0.927480973999991,114.45504,1.0460065603256226,0.19213658571243286,0.39080914855003357,2.4853515625,0.09664937108755112,0.0,0.0010227623861283064,0.0,0.0,2.45040769186744e-06,1.5381750927190296e-05,0.002783099189400673,0.002783099189400673,0.0,0.012439197860658169,0.5131634473800659,0.0005207739304751158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33578511079152423,0.30141741037368774,3.8707275390625,0.254604697227478,0.021168415745099384,-0.03845715522766113
6,0.9283361239999977,114.45504,0.7524908185005188,0.24791954457759857,0.34268060326576233,2.4853515625,0.0656619742512703,0.0,0.0010359552688896656,0.0,0.0,2.5519082100800006e-06,2.071496237476822e-05,0.003294649999588728,0.003294649999588728,0.0,0.01244351826608181,0.9230553507804871,0.0005872143665328622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3355549971262614,0.2989366054534912,3.8727213541666665,0.2543300191561381,0.021082093318303425,-0.047074198722839355
7,0.9375509930000021,114.45504,0.4851660430431366,0.316438764333725,0.244781032204628,2.4853515625,0.0363893024623394,0.0,0.001035449095070362,0.0,0.0,2.596913645902532e-06,2.719990698096808e-05,0.0038161748088896275,0.0038161748088896275,0.0,0.010696768760681152,1.5791124105453491,0.0006199395284056664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3347310622533162,0.29583653807640076,3.8650309244791665,0.2535677154858907,0.020985767245292664,-0.056146323680877686
8,0.9204412269999978,114.45504,0.3009127676486969,0.39302968978881836,0.10818726569414139,2.4853515625,0.014536825940012932,0.0,0.0010349861113354564,0.0,0.0,2.6540378712525126e-06,3.481341991573572e-05,0.0043584369122982025,0.0043584369122982025,0.0,0.010654482059180737,2.5931835174560547,0.0006260715890675783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3331645131111145,0.2915564179420471,3.8502604166666665,0.2519991397857666,0.02087979515393575,-0.06507694721221924
9,0.930505399999987,114.45504,0.24304483830928802,0.46844935417175293,0.07587134093046188,2.4853515625,0.004174515139311552,0.0,0.0010841814801096916,0.0,0.0,2.9076340979372617e-06,4.364890628494322e-05,0.004919328261166811,0.004919328261166811,0.0,0.015277962200343609,4.03364372253418,0.0006108144298195839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33021700382232666,0.28528642654418945,3.8162027994791665,0.24903170267740884,0.020768010367949803,-0.07337892055511475
