iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,2.318143845999998,64.18176,6.953178882598877,0.0627775564789772,0.08854421973228455,2.4853515625,0.6835440397262573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30008556445439655,0.27125978469848633,0.2785237630208333,0.21918592850367227,-0.03218646099170049,-0.14538055658340454
1,0.6706217220000212,64.809472,7.247888565063477,0.15739218890666962,0.13781626522541046,2.4853515625,0.7041248679161072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24546827872594199,0.1904512345790863,0.3560791015625,0.16456456979115805,-0.09141586224238078,-0.20293790102005005
2,0.6784576229999857,64.809472,7.158383846282959,0.12643006443977356,0.11210791021585464,1.75390625,0.6979663372039795,0.0,931.0,0.0,0.0,905.0,931.0,0.0,0.2694774071375529,0.15647399425506592,0.3603922526041667,0.19657987356185913,-0.06207743287086487,-0.24053031206130981
3,0.6634189270000093,64.809984,6.5748186111450195,-0.006855791434645653,0.06739076972007751,1.75390625,0.6512603163719177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3367663621902466,0.320020854473114,0.340576171875,0.271820068359375,0.013643208891153336,-0.08586716651916504
4,0.6687731609999901,64.809984,6.66835355758667,0.009399333037436008,0.06210503354668617,1.75390625,0.6568856239318848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30537215868632,0.27195268869400024,0.3350423177083333,0.24042588472366333,-0.018128772576649983,-0.12283581495285034
5,0.6667950070000188,64.809984,6.851516246795654,0.040891069918870926,0.09695872664451599,1.75390625,0.6682734489440918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25335713227589923,0.2012338787317276,0.3495686848958333,0.1884107987085978,-0.07021558284759521,-0.18611931800842285
6,0.6776544379999905,64.809984,6.950936794281006,0.028611058369278908,0.06425262987613678,1.185546875,0.6773788332939148,0.0,931.0,0.0,0.0,897.0,931.0,0.0,0.2529594302177429,0.15705567598342896,0.36083984375,0.1934731403986613,-0.07002241412798564,-0.23825132846832275
7,0.6708087160000105,64.809984,6.7940592765808105,-0.03954087942838669,0.17229068279266357,1.185546875,0.6720669269561768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3386189142862956,0.29385989904403687,0.3619384765625,0.28817540407180786,0.016598763565222423,-0.04341670870780945
8,0.6716704570000047,64.809984,6.897458076477051,0.012749147601425648,0.1643466204404831,1.185546875,0.6795287132263184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3097517490386963,0.2515968680381775,0.3621826171875,0.2593367099761963,-0.013099675377209982,-0.08891819417476654
9,0.6780635029999758,64.809984,7.09237003326416,0.07741733640432358,0.14360322058200836,1.185546875,0.6931037902832031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2600138584772746,0.18637773394584656,0.3579508463541667,0.20959881941477457,-0.06378550330797832,-0.15499940514564514
