iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_tilt,tilt_frac_active,loss_fq,loss_fres,foot_res_abs_mean,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,2.0688522469999953,64.024576,1.721903681755066,0.09483985602855682,0.668843150138855,2.4970703125,0.16743908822536469,0.0,0.000359418336302042,0.0,0.0,0.0,0.0,0.0,0.26155757904052734,0.01393862348049879,2.8079815820092335e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3384693463643392,0.28840234875679016,2.9775390625,0.26660247643788654,0.020084671676158905,-0.10726159811019897
1,0.9104895780001243,64.652288,1.5868655443191528,0.11326868832111359,0.6194911599159241,2.4970703125,0.15359076857566833,0.0,0.0006739789387211204,0.0,0.0,0.0,0.0,0.0,0.03555990383028984,0.06687584519386292,9.198617044603452e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3382692337036133,0.2856707274913788,3.8629557291666665,0.26634804407755536,0.02130969613790512,-0.03182584047317505
2,0.9032398580000063,64.652288,1.3345348834991455,0.14833980798721313,0.5975816249847412,2.4970703125,0.12719497084617615,0.0,0.000740179093554616,0.0,0.0,0.0,0.0,0.0,0.04670228064060211,0.2548004984855652,0.00019926426466554403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3376609484354655,0.2878004014492035,3.889404296875,0.2657182614008586,0.02120472987492879,-0.03214433789253235
3,0.9043074520000118,64.652288,0.9387532472610474,0.21158717572689056,0.5073517560958862,2.4970703125,0.08597632497549057,0.0,0.0008498475654050708,0.0,0.0,0.0,0.0,0.0,0.04369659721851349,0.6474086046218872,0.00034576794132590294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33841129144032794,0.29522445797920227,3.873291015625,0.2665130893389384,0.02110271155834198,-0.03275356441736221
4,0.9008683759998348,64.652288,0.5344055891036987,0.2987990379333496,0.3270910084247589,2.4970703125,0.04322833940386772,0.0,0.0009718362125568092,0.0,0.0,0.0,0.0,0.0,0.02828662097454071,1.3242830038070679,0.0005243775667622685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33918237686157227,0.29999610781669617,3.8568115234375,0.2673104206720988,0.021020255982875824,-0.03580605983734131
5,0.9098999489999642,64.652288,0.2626127600669861,0.4032837152481079,0.10858121514320374,2.4970703125,0.012586921453475952,0.0,0.000988011946901679,0.0,0.0,0.0,0.0,0.0,0.025597920641303062,2.4173707962036133,0.000714023713953793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3388807773590088,0.2997293472290039,3.8541259765625,0.26711825529734295,0.020927635331948597,-0.04376709461212158
6,0.9163987590000033,64.652288,0.22054189443588257,0.507360577583313,0.1847960650920868,2.4970703125,0.003727950155735016,0.0,0.000931096263229847,0.0,0.0,0.0,0.0,0.0,0.03573068603873253,3.9216017723083496,0.0008735458250157535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33711791038513184,0.2978218197822571,3.8418782552083335,0.2653220295906067,0.020828640709320705,-0.042525291442871094
7,0.9459296460001951,64.652288,0.3336643576622009,0.5845373868942261,0.3573451042175293,2.4970703125,0.010597503744065762,0.0,0.0009199270862154663,0.0,0.0,0.0,0.0,0.0,0.0684615820646286,5.183216094970703,0.0009678794885985553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3327053189277649,0.28388750553131104,3.733154296875,0.2608719865481059,0.020544505367676418,-0.06239420175552368
8,0.9177336750001359,64.652288,0.4346589148044586,0.6157010793685913,0.432518869638443,2.4970703125,0.016555044800043106,0.0,0.0012140991166234016,0.0,0.0,0.0,0.0,0.0,0.15288573503494263,5.706418514251709,0.0009886358166113496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3244132200876872,0.27189987897872925,3.30419921875,0.25270501772562665,0.020382060358921688,-0.07011294364929199
9,0.9241283759999988,64.652288,0.5162349939346313,0.6320294141769409,0.4283667802810669,2.4970703125,0.020632490515708923,0.0,0.0026022247038781643,0.0,0.0,0.0,0.0,0.0,0.44594621658325195,5.620704174041748,0.0009563364437781274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31324100494384766,0.25828418135643005,3.2122802734375,0.2416272759437561,0.020301256328821182,-0.07348966598510742
