iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,n_falls,n_timeouts,n_move_up,n_move_down
0,10.273487782000075,169.22112,7.05011510848999,0.022170262411236763,0.05378386750817299,2.4755859375,0.6903653144836426,0.006231955252587795,1.0,0.0,0.0,1.0
1,3.999932835999971,170.092032,7.279941558837891,0.07737298309803009,0.0833604633808136,2.47314453125,0.7019877433776855,0.013937665149569511,6.0,0.0,0.0,6.0
2,4.125021140999934,170.092032,7.2768449783325195,0.06828974187374115,0.06943798065185547,1.70458984375,0.7056387662887573,0.012539665214717388,1921.0,0.0,0.0,1874.0
3,4.116234351000003,170.092032,6.887590408325195,-0.002241959795355797,0.046999648213386536,1.70361328125,0.6808578372001648,0.0026402079965919256,3.0,0.0,0.0,2.0
4,4.2580982540000605,170.092032,7.006570816040039,0.021024180576205254,0.05511218309402466,1.70361328125,0.6885301470756531,0.004934432450681925,2.0,0.0,0.0,2.0
5,4.416044905000035,170.092032,7.183271408081055,0.05708649009466171,0.05928662791848183,1.70166015625,0.6974980235099792,0.010695995762944221,8.0,0.0,0.0,8.0
6,4.417964703000052,170.092032,7.175830364227295,0.04750232398509979,0.026206471025943756,1.1005859375,0.695649266242981,0.012552469968795776,1891.0,0.0,0.0,1829.0
7,4.363786125000161,170.092032,6.875632286071777,-0.017062079161405563,0.11630579084157944,1.10009765625,0.6784815192222595,0.0020372711587697268,5.0,0.0,0.0,5.0
8,4.376597778000132,170.092032,6.89008092880249,0.03872309625148773,0.06705192476511002,1.10009765625,0.6764960289001465,0.0038017777260392904,3.0,0.0,0.0,3.0
9,4.389505870999983,170.092032,7.159847259521484,0.104436956346035,0.04906535521149635,1.0986328125,0.6961769461631775,0.008967571891844273,13.0,0.0,0.0,12.0
10,4.386922120000008,170.092032,7.2254228591918945,0.08933810889720917,0.06584989279508591,0.65185546875,0.6979283094406128,0.014002370648086071,1847.0,0.0,0.0,1790.0
11,4.410346344000118,170.092032,6.816389560699463,-0.01656445860862732,0.13847777247428894,0.64990234375,0.6732573509216309,0.002191361738368869,8.0,0.0,0.0,8.0
12,4.363294614000097,170.092032,6.920167922973633,0.029911823570728302,0.053560394793748856,0.6484375,0.6808852553367615,0.003940539434552193,10.0,0.0,0.0,10.0
13,4.427829157000133,170.092032,7.238312721252441,0.0814196765422821,0.08188389986753464,0.64794921875,0.7057492136955261,0.009065422229468822,10.0,0.0,0.0,10.0
14,4.4941730210000514,170.092032,7.358755111694336,0.07961735129356384,0.07092473655939102,0.34326171875,0.7090662717819214,0.016788048669695854,1809.0,0.0,0.0,1743.0
15,4.488466689999996,170.092032,6.989699363708496,0.0038906396366655827,0.08717723935842514,0.34033203125,0.6912073493003845,0.0025262318085879087,10.0,0.0,0.0,10.0
16,4.484855371000094,170.092032,7.141120910644531,0.0204701516777277,0.0971534475684166,0.3388671875,0.7033470869064331,0.004131418652832508,8.0,0.0,0.0,7.0
17,4.499631516000136,170.092032,7.467846393585205,0.04703084006905556,0.09322905540466309,0.337890625,0.7292699813842773,0.008604031056165695,16.0,0.0,0.0,16.0
18,4.519854712000097,170.092032,7.828000545501709,0.0643262192606926,0.1078990250825882,0.1796875,0.7539815902709961,0.018028561025857925,1773.0,0.0,0.0,1726.0
19,4.536491982999905,170.092032,6.63545560836792,0.008491956628859043,0.06215490773320198,0.17626953125,0.6555088758468628,0.002616461366415024,20.0,0.0,0.0,19.0
20,4.5183333089999,170.092032,6.85894775390625,0.015754323452711105,0.08924094587564468,0.1748046875,0.6748077273368835,0.003861731383949518,8.0,0.0,0.0,7.0
21,4.543087021000019,170.092032,7.4539642333984375,0.04006141796708107,0.1124570444226265,0.1728515625,0.7277938723564148,0.00760082108899951,14.0,0.0,0.0,13.0
22,4.5683991650000735,170.092032,8.128554344177246,0.06514325737953186,0.1230553463101387,0.1708984375,0.7836818099021912,0.016278889030218124,27.0,0.0,0.0,27.0
23,4.59336657200015,170.092032,6.580178260803223,0.016036506742239,0.15921318531036377,0.14794921875,0.6444661021232605,0.004929333925247192,1750.0,0.0,0.0,1686.0
24,4.546103157000061,170.092032,6.563112258911133,0.00924764759838581,0.18392306566238403,0.1474609375,0.6415344476699829,0.0035883598029613495,5.0,0.0,0.0,5.0
25,4.5343826830001035,170.092032,7.507976055145264,0.0024799881502985954,0.03395279496908188,0.14599609375,0.7284026145935059,0.0063786497339606285,14.0,0.0,0.0,14.0
26,4.5611062140001195,170.092032,8.656478881835938,0.01734398491680622,0.20000797510147095,0.14501953125,0.8316137194633484,0.013141064904630184,11.0,0.0,0.0,11.0
27,4.592502772999978,170.092032,7.075075626373291,0.007025923579931259,0.05254756286740303,0.1416015625,0.6882295608520508,0.006552937440574169,1762.0,0.0,0.0,1704.0
28,4.563780892000068,170.092032,6.8082804679870605,0.003286119783297181,0.05915733054280281,0.14111328125,0.660760760307312,0.002921802457422018,9.0,0.0,0.0,8.0
29,4.5908954540000195,170.092032,8.09839153289795,0.008847221732139587,0.06401529163122177,0.14013671875,0.7790829539299011,0.004704141058027744,13.0,0.0,0.0,13.0
