iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,2.014930220000224,104.19712,1.6981805562973022,0.09755074977874756,0.3214014172554016,2.4853515625,0.16501609981060028,0.0,0.0003285389393568039,0.27177131175994873,0.0035469799768179655,2.7111182134831324e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3380213181177775,0.2966705858707428,2.9970703125,0.2570895353953044,0.019965718189875286,-0.10674911737442017
1,0.9166446750000432,106.324992,1.6146734952926636,0.10929816216230392,0.3177490234375,2.4853515625,0.15650710463523865,0.0,0.0006720939418300986,0.029651429504156113,0.02148938737809658,7.906564133008942e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33741287390391034,0.2939400374889374,3.8582356770833335,0.25641783078511554,0.021286211907863617,-0.07280498743057251
2,0.9146739629995864,106.324992,1.5526009798049927,0.1176569014787674,0.35329964756965637,2.4853515625,0.14966925978660583,0.0,0.0008211887325160205,0.019286317750811577,0.06981955468654633,0.00016900253831408918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3359982172648112,0.29211297631263733,3.8826497395833335,0.25492459535598755,0.02130839725335439,-0.02903667837381363
3,0.9165928859997621,106.324992,1.4135730266571045,0.1362972855567932,0.38553839921951294,2.4853515625,0.13502559065818787,0.0,0.0009131740080192685,0.01793157309293747,0.17096775770187378,0.00029098382219672203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33607276280721027,0.29605820775032043,3.8694661458333335,0.25489262739817303,0.021253079175949097,-0.029200956225395203
4,0.9358250239997687,106.324992,1.1861573457717896,0.16964809596538544,0.3966626524925232,2.4853515625,0.1113097220659256,0.0,0.0009656281908974051,0.016457468271255493,0.3611828684806824,0.0004291137447580695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33657073974609375,0.298610121011734,3.8615315755208335,0.2553834120432536,0.021200979749361675,-0.034087538719177246
5,0.9431919049998214,106.324992,0.906509280204773,0.2174125462770462,0.3723353445529938,2.4853515625,0.08188945055007935,0.0,0.00099263119045645,0.01394575648009777,0.6921474933624268,0.0005609346553683281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3368368148803711,0.3024999797344208,3.8669840494791665,0.2556413412094116,0.021137386560440063,-0.04324018955230713
6,0.9690044499998294,106.324992,0.6198252439498901,0.2791454792022705,0.3013695478439331,2.4853515625,0.051206715404987335,0.0,0.0010003196075558662,0.012521220371127129,1.2439533472061157,0.0006713586626574397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33666237195332843,0.3002701997756958,3.8663330078125,0.25543878475824994,0.02104743818442027,-0.052938640117645264
7,0.9700875300000007,106.324992,0.38032522797584534,0.3543508052825928,0.17476600408554077,2.4853515625,0.024145394563674927,0.0,0.0009839845588430762,0.011990528553724289,2.1198039054870605,0.0007568179862573743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33573393026987713,0.2971425950527191,3.8592122395833335,0.25457630554835003,0.02093456933895747,-0.06276863813400269
8,0.9677115499998763,106.324992,0.2544386386871338,0.4350557327270508,0.03570625185966492,2.4853515625,0.007414975669234991,0.0,0.0009708276484161615,0.012644072994589806,3.4409186840057373,0.0008147107437252998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333755890528361,0.29176759719848633,3.8406982421875,0.25258320569992065,0.020809719959894817,-0.07238209247589111
9,0.9496197049998045,106.324992,0.2650604248046875,0.5062651038169861,0.15601058304309845,2.4853515625,0.0032445453107357025,0.0,0.001029202830977738,0.021443039178848267,5.169508934020996,0.0008363359374925494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.329936424891154,0.27686911821365356,3.7644856770833335,0.24869946638743082,0.02069330836335818,-0.07722729444503784
10,0.912608875999922,106.324992,0.35346007347106934,0.5543323755264282,0.25690028071403503,2.4853515625,0.006005586590617895,0.0,0.0012831806670874357,0.05590202659368515,6.937709808349609,0.000808366050478071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3232381542523702,0.25713807344436646,3.4927978515625,0.24197858572006226,0.020588810245196026,-0.07727938890457153
