iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_tilt,tilt_frac_active,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,1.6884841750000135,2.134528,7.174679279327393,0.096063032746315,0.7491112351417542,nan,0.7106791734695435,0.0,9.405805030837655e-05,3.484807775677723e-09,1.0,0.7478060722351074,0.018662959337234497,0.0003205443499609828,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.33809057871500653,0.335358202457428,2.4166666666666665,0.33809057871500653,0.021420910954475403,0.01166398823261261
1,0.3670458809999957,3.18208,7.079319000244141,0.08618862181901932,0.3736521601676941,nan,0.7012972831726074,0.0,0.0003197953919880092,2.606500615343066e-08,1.0,0.4097796678543091,0.10554202646017075,0.002178449183702469,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3373454014460246,0.33560308814048767,3.1380208333333335,0.3373454014460246,0.023020878434181213,0.023009702563285828
2,0.36219756500000244,3.18208,6.834052562713623,0.02094440720975399,0.42726626992225647,nan,0.6760506629943848,0.0,0.0003626011312007904,3.311914298365082e-08,1.0,0.40232205390930176,0.27034977078437805,0.0058594755828380585,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.33503631750742596,0.33406659960746765,3.1901041666666665,0.33503631750742596,0.02301269272963206,0.02300836890935898
3,0.3621257309999919,3.18208,6.682613849639893,-0.0724123939871788,0.38786256313323975,nan,0.6605744361877441,0.0,0.0003660034853965044,3.3970319890386236e-08,1.0,0.4163239896297455,0.47802966833114624,0.011363133788108826,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3343462149302165,0.3337869942188263,3.1588541666666665,0.3343462149302165,0.02302328993876775,0.02300884574651718
4,0.36231303400001025,3.18208,6.731594562530518,-0.17057976126670837,0.7545642256736755,nan,0.6662241816520691,0.0,0.0003951026010327041,4.02209536787268e-08,1.0,0.4422045350074768,0.6471654176712036,0.01873685047030449,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.33405109246571857,0.3335132598876953,2.6223958333333335,0.33405109246571857,0.02306687831878662,0.023027896881103516
5,0.36655982799999265,3.18208,6.931621551513672,-0.2556595802307129,1.072163462638855,nan,0.6864414215087891,0.0,0.0005831895396113396,9.112626742080465e-08,1.0,0.4726460576057434,0.77620929479599,0.028076868504285812,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.33324817816416424,0.3323631286621094,3.2708333333333335,0.33324817816416424,0.023115836083889008,0.02307719737291336
6,0.3639292599999919,3.18208,7.208190441131592,-0.3142596483230591,0.9882808327674866,nan,0.7137550115585327,0.0,0.0009750131284818053,2.5973855599659146e-07,1.0,0.4925777316093445,0.8693668842315674,0.03946331888437271,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.33173290888468426,0.3303530812263489,3.7447916666666665,0.33173290888468426,0.02317323535680771,0.02313825488090515
7,0.36329647599998793,3.18208,7.309754848480225,-0.32590755820274353,0.6264122128486633,nan,0.7234913110733032,0.0,0.0016027891542762518,6.979998943279497e-07,1.0,0.49879705905914307,0.9408010244369507,0.05291294306516647,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3295506238937378,0.3276270627975464,3.9895833333333335,0.3295506238937378,0.02323604126771291,0.023199163377285004
8,0.36355377000001,3.18208,7.190392017364502,-0.2884184718132019,0.6660551428794861,nan,0.7111721038818359,0.0,0.002416829578578472,1.568751031300053e-06,1.0,0.48853224515914917,0.9960348010063171,0.06834416091442108,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.32674076159795123,0.32444795966148376,3.9973958333333335,0.32674076159795123,0.023294563094774883,0.023260504007339478
9,0.3614294150000035,3.18208,6.969415664672852,-0.20842912793159485,0.6318991780281067,nan,0.6876599192619324,0.0,0.00334439380094409,2.9604623250634177e-06,1.0,0.4571532905101776,1.0262680053710938,0.08553147315979004,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3238113721211751,0.321584016084671,3.7005208333333335,0.3238113721211751,0.023340341945489246,0.023311875760555267
10,0.3615099250000071,3.18208,6.829939842224121,-0.10374808311462402,0.7701585292816162,nan,0.6731831431388855,0.0,0.0042211562395095825,4.6582554205087945e-06,1.0,0.41959136724472046,1.09298837184906,0.10421222448348999,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3216123978296916,0.3198939561843872,3.625,0.3216123978296916,0.023367134233315785,0.023343786597251892
11,0.3602801829999862,3.18208,6.874407768249512,0.005587503779679537,1.0980491638183594,nan,0.6775945425033569,0.0,0.004777806811034679,5.933629836363252e-06,1.0,0.3911992907524109,1.2469689846038818,0.12429320812225342,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3207440177599589,0.31953907012939453,3.6015625,0.3207440177599589,0.02337251603603363,0.02334444969892502
12,0.35948959599997465,3.18208,7.1009721755981445,0.10893317312002182,1.0328041315078735,nan,0.700090765953064,0.0,0.004898223094642162,6.2250837800092995e-06,1.0,0.39397692680358887,1.501202940940857,0.14581632614135742,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3211031953493754,0.31967633962631226,3.9583333333333335,0.3211031953493754,0.02335796256860097,0.023316405713558197
13,0.36037427100001196,3.18208,7.441166400909424,0.19999194145202637,0.9225826263427734,nan,0.7333048582077026,0.0,0.0048276400193572044,6.040570497134468e-06,1.0,0.4401153028011322,1.8559287786483765,0.16888323426246643,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3220084110895793,0.3201563060283661,3.9427083333333335,0.3220084110895793,0.023325843115647633,0.023271560668945312
14,0.36036417799999754,3.18208,7.767884731292725,0.26767629384994507,0.768906831741333,nan,0.7654231786727905,0.0,0.005184644367545843,6.966666660446208e-06,1.0,0.5131691694259644,2.291928768157959,0.1937011480331421,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.32278716564178467,0.3210698664188385,3.9791666666666665,0.32278716564178467,0.02327645570039749,0.02320972830057144
15,0.36012380500000063,3.18208,7.949458599090576,0.2991574704647064,0.9813930988311768,nan,0.7821325659751892,0.0,0.0065161786042153835,1.1037345757358707e-05,1.0,0.585486114025116,2.8783175945281982,0.22053822875022888,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.32313766082127887,0.3217669129371643,4.0,0.32313766082127887,0.02321082850297292,0.023134201765060425
16,0.3654927629999918,3.18208,7.8949103355407715,0.2913610339164734,1.1055757999420166,nan,0.7750124931335449,0.0,0.00916995108127594,2.1879479390918277e-05,1.0,0.6390876173973083,3.520979642868042,0.24955324828624725,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3229018449783325,0.32167673110961914,3.5598958333333335,0.3229018449783325,0.02313340703646342,0.02305275946855545
17,0.35967293400000244,3.18208,7.628824710845947,0.2479155957698822,1.356642484664917,nan,0.7474281787872314,0.0,0.013248707167804241,4.558833461487666e-05,1.0,0.6904571056365967,4.141271114349365,0.2808573842048645,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.32202359040578205,0.32039687037467957,3.0911458333333335,0.32202359040578205,0.023052501181761425,0.02297370135784149
18,0.3614049029999933,3.18208,7.29191255569458,0.18411388993263245,1.5128304958343506,nan,0.7123379707336426,0.0,0.019232694059610367,9.617958858143538e-05,1.0,0.7831510901451111,4.792760372161865,0.3142160177230835,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3210859497388204,0.31948381662368774,3.0416666666666665,0.3210859497388204,0.022978290915489197,0.022902026772499084
19,0.3614716220000105,3.18208,7.015742301940918,0.1152692586183548,1.4445527791976929,nan,0.6829058527946472,0.0,0.02735435962677002,0.00019477585738059133,1.0,0.7787672877311707,5.380937099456787,0.34924590587615967,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.32051539421081543,0.31891313195228577,3.0,0.32051539421081543,0.022915114959081013,0.022846244275569916
20,0.35986282499999334,3.18208,6.835203170776367,0.047070980072021484,1.2005516290664673,nan,0.6634583473205566,0.0,0.0367431603372097,0.00035185724846087396,1.0,0.7033646106719971,5.795991897583008,0.3856986463069916,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.32004167636235553,0.31834688782691956,2.9895833333333335,0.32004167636235553,0.02287013332049052,0.02281361073255539
21,0.3595775969999977,3.18208,6.762152671813965,-0.015780862420797348,0.6729422211647034,nan,0.6555678844451904,0.0,0.046272244304418564,0.0005592575762420893,1.0,0.6268664598464966,6.033971309661865,0.4234352111816406,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3195509115854899,0.3179393410682678,2.9244791666666665,0.3195509115854899,0.02285009374221166,0.02280806005001068
22,0.3571763580000038,3.18208,6.794412612915039,-0.06822527945041656,0.9185789227485657,nan,0.6576782464981079,0.0,0.05495413392782211,0.0007911556749604642,1.0,0.5644327402114868,6.123870372772217,0.4625125825405121,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.3193109432856242,0.31735777854919434,2.5911458333333335,0.3193109432856242,0.022857291003068287,0.022810496389865875
23,0.3586145490000092,3.18208,6.899760723114014,-0.10868744552135468,1.319481611251831,nan,0.6675323247909546,0.0,0.06151605769991875,0.0009942215401679277,1.0,0.504865288734436,6.4709792137146,0.5031887292861938,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.31962178150812787,0.3172803223133087,2.5234375,0.31962178150812787,0.022887185215950012,0.022833824157714844
24,0.36003108900001735,3.18208,7.053755283355713,-0.1396511197090149,1.5400373935699463,nan,0.6824020147323608,0.0,0.0647508054971695,0.0011039585806429386,1.0,0.47630974650382996,6.977456569671631,0.5458393096923828,0.5488320589065552,0.0,0.0,nan,nan,0.0,0.0,0.32032646735509235,0.31735602021217346,2.4322916666666665,0.32032646735509235,0.02293068915605545,0.022875003516674042
