iter,t_iter_s,peak_mem_mb,loss,vx,grad_norm,terrain_level,loss_v,loss_clear,loss_gproj,loss_omega,loss_ctrl,loss_yaw,mean_abs_yaw_cmd,n_falls,n_timeouts,n_move_up,n_move_down,n_fall_height,n_fall_tilt,mean_base_h,min_base_h,mean_n_contact,mean_base_z,mean_foot_clear,min_foot_clear
0,2.831936816999985,117.329408,6.935751438140869,0.09155580401420593,0.17737902700901031,2.47607421875,0.68718022108078,0.0,0.0003718608641065657,0.6529337763786316,0.018420826643705368,0.0002940633276011795,0.49866920709609985,0.0,0.0,0.0,0.0,0.0,0.0,0.3380489746729533,0.2967381477355957,2.9109090169270835,0.27380595604578656,0.020080190151929855,-0.10698968172073364
1,1.1689548600000421,120.119808,6.865370750427246,0.06870708614587784,0.15623027086257935,2.47607421875,0.6805599927902222,0.0,0.0009474195539951324,0.403217613697052,0.07276314496994019,0.0019080614438280463,0.49866920709609985,0.0,0.0,0.0,0.0,0.0,0.0,0.33712490399678546,0.2958366870880127,3.72802734375,0.2728172540664673,0.021388744314511616,-0.09698182344436646
2,1.1601650319999521,120.119808,6.756105422973633,-0.007588418200612068,0.11396142840385437,2.47607421875,0.6694666743278503,0.0,0.0015621357597410679,0.3794444799423218,0.20036618411540985,0.005085639655590057,0.49866920709609985,0.0,0.0,0.0,0.0,0.0,0.0,0.3348414897918701,0.2958650290966034,3.6648763020833335,0.27054961522420246,0.021452779571215313,-0.09697943925857544
3,1.1672874580000325,120.316416,6.7565388679504395,-0.09214837104082108,0.2339770495891571,2.47607421875,0.6694046854972839,0.0,0.0021463921293616295,0.36177492141723633,0.3158875107765198,0.009806472808122635,0.49866920709609985,0.0,0.0,0.0,0.0,0.0,0.0,0.3337610562642415,0.27797308564186096,3.6492513020833335,0.2694326639175415,0.02151225010553996,-0.09697002172470093
4,1.1610920840000176,120.316416,6.827459812164307,-0.15513035655021667,0.268745094537735,2.47607421875,0.676375150680542,0.0,0.002300836844369769,0.3563171327114105,0.326649010181427,0.016040649265050888,0.49860382080078125,1.0,0.0,0.0,1.0,0.0,1.0,0.33331753810246784,0.28861549496650696,3.80047607421875,0.2689296404520671,0.02158999691406886,-0.09693771600723267
5,1.1624578110000243,120.316416,6.827657699584961,-0.17178934812545776,0.3737400770187378,2.47607421875,0.6762520670890808,0.0,0.0018984638154506683,0.3751544952392578,0.28753602504730225,0.02376362308859825,0.4984078109264374,0.0,0.0,0.0,0.0,0.0,0.0,0.33295293649037677,0.29651889204978943,3.8634236653645835,0.26857171456019086,0.0216290478905042,-0.09688323736190796
6,1.1698634749999997,120.316416,6.676894664764404,-0.14004608988761902,0.2995493412017822,2.47607421875,0.6609141826629639,0.0,0.001628565019927919,0.3871811628341675,0.25360482931137085,0.03298322111368179,0.4984078109264374,0.0,0.0,0.0,0.0,0.0,0.0,0.3326107859611511,0.2956608831882477,3.8723347981770835,0.26821688810984295,0.021663146714369457,-0.0968361496925354
7,1.1689422350000314,120.316416,6.486557960510254,-0.06547902524471283,0.25858306884765625,2.47607421875,0.6415678858757019,0.0,0.001512371702119708,0.37217211723327637,0.23912391066551208,0.043684717267751694,0.4984078109264374,0.0,0.0,0.0,0.0,0.0,0.0,0.3324807286262512,0.2956552803516388,3.8561197916666665,0.26806412140528363,0.021695489684740703,-0.09680646657943726
8,1.173672554999996,120.316416,6.4217400550842285,0.03687500208616257,0.231535404920578,2.47607421875,0.6346839666366577,0.0,0.001524133956991136,0.35543012619018555,0.24469897150993347,0.05589843541383743,0.4984078109264374,0.0,0.0,0.0,0.0,0.0,0.0,0.33296432097752887,0.2963118851184845,3.8231404622395835,0.2685333490371704,0.021723503867785137,-0.09684163331985474
9,1.1779218799999853,120.316416,6.602770805358887,0.1412208378314972,0.41787290573120117,2.47607421875,0.6525039076805115,0.0,0.0015735940542072058,0.36344847083091736,0.26029807329177856,0.06968782842159271,0.4984078109264374,0.0,0.0,0.0,0.0,0.0,0.0,0.33408065636952716,0.29582691192626953,3.8203938802083335,0.2696799437204997,0.02166116237640381,-0.09690386056900024
